"node","sample_1_tau_1","sample_2_tau_1","sample_3_tau_1","sample_1_tau_0.333333333333333","sample_2_tau_0.333333333333333","sample_3_tau_0.333333333333333","sample_1_tau_0.2","sample_2_tau_0.2","sample_3_tau_0.2","sample_1_tau_0.142857142857143","sample_2_tau_0.142857142857143","sample_3_tau_0.142857142857143","sample_1_tau_0.111111111111111","sample_2_tau_0.111111111111111","sample_3_tau_0.111111111111111","eqn"
"IME1",0.972951906431413,0.9956016591036,1.05091489837607,1.01804915871718,1.08550941820829,1.04810216625422,1.01804915871718,1.08550941820829,1.04810216625422,0.990925393602372,0.913514341054559,0.965796673723169,0.990925393602372,0.913514341054559,0.965796673723169,"((((1 * fAct(IME4, 0.455282931821421, 1.41848174529849) * 1 * fAct(RIM101, 0.430619716644287, 1.08755058774492)) + ((1 - 1 * fAct(RME1, 0.569673691689968, 1.33608580185566)) + (1 - 1 * fAct(IME1_UME6, 0.51497751371935, 1.68872947554803)) - (1 - 1 * fAct(RME1, 0.569673691689968, 1.33608580185566)) * (1 - 1 * fAct(IME1_UME6, 0.51497751371935, 1.68872947554803))) - (1 * fAct(IME4, 0.455282931821421, 1.41848174529849) * 1 * fAct(RIM101, 0.430619716644287, 1.08755058774492)) * ((1 - 1 * fAct(RME1, 0.569673691689968, 1.33608580185566)) + (1 - 1 * fAct(IME1_UME6, 0.51497751371935, 1.68872947554803)) - (1 - 1 * fAct(RME1, 0.569673691689968, 1.33608580185566)) * (1 - 1 * fAct(IME1_UME6, 0.51497751371935, 1.68872947554803))))) * 1 - 1 * IME1) / 0.111111111111111"
"IME1_UME6",0.215121407226523,0.207731204293896,-0.0569693722062645,0.2345972215082,0.181158071700437,0.0935819248687422,0.2345972215082,0.181158071700437,0.0935819248687423,0.228263381865708,0.214209448926383,-0.0167325722031228,0.228263381865708,0.214209448926383,-0.0167325722031228,"((((1 * fAct(RIM101, 0.425050213793293, 1.21041602211073) * 1 * fAct(IME4, 0.424831861490384, 1.34369416832458)) * (1 - 1 * fAct(RME1, 0.550557131832466, 1.35449654292781)))) * 1 - 1 * IME1_UME6) / 0.111111111111111"
"IME2",0.999100675495263,0.866378064013878,0.940328746258496,0.937772089134276,0.979357960148695,0.97498381534816,0.937772089134276,0.979357960148695,0.97498381534816,1.00762358791358,0.996850440602062,1.00430350669584,1.00762358791358,0.996850440602062,1.00430350669584,"(((((1 - 1 * fAct(UME6, 0.48381043379195, 1.25027500827331)) + 1 * fAct(IME1, 0.563441710127518, 1.19552577315131) - (1 - 1 * fAct(UME6, 0.48381043379195, 1.25027500827331)) * 1 * fAct(IME1, 0.563441710127518, 1.19552577315131)) + (1 - 1 * fAct(SDS3, 0.55779563463293, 1.12676094904775)) - ((1 - 1 * fAct(UME6, 0.48381043379195, 1.25027500827331)) + 1 * fAct(IME1, 0.563441710127518, 1.19552577315131) - (1 - 1 * fAct(UME6, 0.48381043379195, 1.25027500827331)) * 1 * fAct(IME1, 0.563441710127518, 1.19552577315131)) * (1 - 1 * fAct(SDS3, 0.55779563463293, 1.12676094904775)))) * 1 - 1 * IME2) / 0.111111111111111"
"IME4",0.719005471367374,0.61753937842498,0.78251448070639,0.630384696149042,0.669825703227684,0.7029342843207,0.630384696149042,0.669825703227684,0.7029342843207,0.646172436213348,0.575581513748897,0.737262889007328,0.646172436213348,0.575581513748897,0.737262889007328,"input gene"
"INH1",0.695963124290341,0.507413161448418,0.729153539583237,0.735976802623528,0.387234860472335,0.691653313666381,0.735976802623528,0.387234860472335,0.691653313666381,0.744071979003432,0.454110820343798,0.607175182743508,0.744071979003432,0.454110820343798,0.607175182743508,"(((1 - 1 * fAct(HDA1, 0.49582917955704, 1.1306592183141))) * 1 - 1 * INH1) / 0.111111111111111"
"INO1",0.815087724828381,0.819176847131735,0.993982663467854,0.970179208664547,0.892674059859411,0.966150112982148,0.970179208664547,0.892674059859411,0.966150112982148,0.876820646760909,0.770108769445039,0.952311778739037,0.876820646760909,0.770108769445039,0.952311778739037,"(((((1 - 1 * fAct(UME6, 0.563163102744147, 1.09521868714131)) + ((1 * fAct(INO2_INO4, 0.442682830942795, 1.16468134464463) * 1 * fAct(SNF2, 0.47797801559791, 1.06013865664369)) * 1 * fAct(SNF6, 0.501644258154556, 1.11563631757163)) - (1 - 1 * fAct(UME6, 0.563163102744147, 1.09521868714131)) * ((1 * fAct(INO2_INO4, 0.442682830942795, 1.16468134464463) * 1 * fAct(SNF2, 0.47797801559791, 1.06013865664369)) * 1 * fAct(SNF6, 0.501644258154556, 1.11563631757163))) + ((1 - 1 * fAct(HDA1, 0.530992630356923, 1.33643064222299)) + (1 - 1 * fAct(SDS3, 0.412197856185958, 1.37385670488235)) - (1 - 1 * fAct(HDA1, 0.530992630356923, 1.33643064222299)) * (1 - 1 * fAct(SDS3, 0.412197856185958, 1.37385670488235))) - ((1 - 1 * fAct(UME6, 0.563163102744147, 1.09521868714131)) + ((1 * fAct(INO2_INO4, 0.442682830942795, 1.16468134464463) * 1 * fAct(SNF2, 0.47797801559791, 1.06013865664369)) * 1 * fAct(SNF6, 0.501644258154556, 1.11563631757163)) - (1 - 1 * fAct(UME6, 0.563163102744147, 1.09521868714131)) * ((1 * fAct(INO2_INO4, 0.442682830942795, 1.16468134464463) * 1 * fAct(SNF2, 0.47797801559791, 1.06013865664369)) * 1 * fAct(SNF6, 0.501644258154556, 1.11563631757163))) * ((1 - 1 * fAct(HDA1, 0.530992630356923, 1.33643064222299)) + (1 - 1 * fAct(SDS3, 0.412197856185958, 1.37385670488235)) - (1 - 1 * fAct(HDA1, 0.530992630356923, 1.33643064222299)) * (1 - 1 * fAct(SDS3, 0.412197856185958, 1.37385670488235))))) * 1 - 1 * INO1) / 0.111111111111111"
"INO2",0.522599543520597,0.33282357595759,-0.00960993999414556,0.473172311193859,0.424022490927412,-0.0300920401075618,0.473172311193859,0.424022490927412,-0.0300920401075618,0.521486457683781,0.400364700272743,0.0222677637045751,0.521486457683781,0.400364700272743,0.0222677637045751,"(((1 * fAct(UME6, 0.444857061840594, 1.69784512178507) * 1 * fAct(INO2_INO4, 0.561033436655998, 1.67286777437665))) * 1 - 1 * INO2) / 0.111111111111111"
"INO2_INO4",0.732170218900667,0.68786223964917,-0.0656653490548166,0.699670594807287,0.552879458016385,0.093229323094078,0.699670594807287,0.552879458016385,0.093229323094078,0.70878665313995,0.551732699968749,0.11337726078364,0.70878665313995,0.551732699968749,0.11337726078364,"((1 * fAct(UME6, 0.551776944799349, 1.45951411728514)) * 1 - 1 * INO2_INO4) / 0.111111111111111"
"INO4",0.473615726307586,0.550877847041214,0.426221677448375,0.465113661525179,0.647901017752712,0.440386429075166,0.465113661525179,0.647901017752712,0.440386429075166,0.504000777929285,0.564915150278276,0.432026484739279,0.504000777929285,0.564915150278276,0.432026484739279,"input gene"
"ITR1",0.82588979295242,0.677575192962608,-0.00110204073404364,0.731141261162847,0.757230275631813,-0.00103620252879583,0.731141261162847,0.757230275631813,-0.00103620252879583,0.764290214728415,0.805947680592279,0.0326363899078258,0.764290214728415,0.805947680592279,0.0326363899078258,"((1 * fAct(INO2_INO4, 0.411017273459584, 1.55811909656739)) * 1 - 1 * ITR1) / 0.111111111111111"
