"from","to","weight","activation","EC50","n"
"CDC50","CYC1",1,FALSE,0.544694598345086,1.35619149159407
"CHA4","CHA1",1,TRUE,0.514062664238736,1.51730035229586
"CIN5","ENA1",1,TRUE,0.590043490799144,1.57253326535691
"CRZ1","ENA1",1,TRUE,0.470270859962329,1.17018199166516
"CRZ1","GSC2",1,TRUE,0.435864770924673,1.06008776413742
"CRZ1","PMC1",1,TRUE,0.54708948303014,1.60590337222675
"CUP2","CUP1A",1,TRUE,0.505500154010951,1.50604839565232
"CUP2","CUP1B",1,TRUE,0.48453855314292,1.56154412922449
"CUP2","RS5",1,TRUE,0.527598333358765,1.65799758489011
"CUP2","SOD1",1,TRUE,0.548095258511603,1.09930178624345
"CUP9","FET3",1,TRUE,0.473119933903217,1.67325452834601
"CUP9","PTR2",1,FALSE,0.565572581160814,1.58788903025677
"DAL80","CAN1",1,FALSE,0.472186430823058,1.05507078027586
"DAL80","DAL1",1,FALSE,0.402262558089569,1.31239130113041
"DAL80","DAL2",1,FALSE,0.447644274262711,1.47261227415642
"DAL80","DAL3",1,FALSE,0.496920214733109,1.43844626719132
"DAL80","DAL4",1,FALSE,0.589259523199871,1.03874448724091
"DAL80","DAL5",1,FALSE,0.505496709793806,1.28732240151148
"DAL80","DAL7",1,FALSE,0.578380331769586,1.26023438538425
"DAL80","DCG1",1,FALSE,0.448810641421005,1.234122541619
"DAL80","DUR1",1,FALSE,0.451635159412399,1.4372367231641
"DAL80","DUR3",1,FALSE,0.501778638409451,1.35525763960788
"DAL80","GAT1",1,FALSE,0.59606289146468,1.64565324534429
"DAL80","GDH1",1,FALSE,0.49104814613238,1.19998244768474
"DAL80","PUT1",1,FALSE,0.50653505246155,1.40216932948213
"DAL80","PUT2",1,FALSE,0.543677390599623,1.47872923194198
"DAL80","PUT4",1,FALSE,0.551183004537597,1.01604656086303
"DAL80","UGA1",1,FALSE,0.435329130059108,1.08938776922645
"DAL80","UGA2",1,FALSE,0.557153272116557,1.06379484057892
"DAL80_GZF3","DAL80",1,FALSE,0.459638241492212,1.46146833522478
"DAL80_GZF3","GAP1",1,FALSE,0.528782963613048,1.57708188730758
"DAL80_GZF3","UGA4",1,FALSE,0.489564301259816,1.16234612427885
"DAL81","UGA2",1,TRUE,0.484240692993626,1.48365923706675
"DAL81","UGA4",1,TRUE,0.435734320105985,1.46854677283904
"FKH2","CLB2",1,FALSE,0.437445507803932,1.16386795151047
"FLO8","MUC1",1,TRUE,0.502606087410822,1.10457277541747
"FLO8","STA1",1,TRUE,0.440016656601802,1.20038253731094
"FLO8","STA2",1,TRUE,0.419583662692457,1.54245701672742
"FZF1","SSU1",1,TRUE,0.566854331688955,1.51144777962239
"GAL11","A1_ALPHA2",1,TRUE,0.525046732183546,1.2941417888226
"GAL11","ALPHA1",1,TRUE,0.520553044276312,1.23839976177085
"GAL11","ALPHA2",1,TRUE,0.503069751663134,1.47460213572718
"GAL11","GAL1",1,TRUE,0.590454394882545,1.68128411434591
"GAL11","GAL10",1,TRUE,0.464756291545928,1.04211780340178
"GAL11","GAL2",1,TRUE,0.426565143465996,1.53552790845977
"GAL11","GAL7",1,TRUE,0.521436410164461,1.0317064641742
"GAL11","MFALPHA1",1,TRUE,0.425029096892104,1.20581239332678
"GAL4","FUR4",1,TRUE,0.559080795710906,1.34258540811948
"GAL4","GAL1",1,TRUE,0.440944476425648,1.30342036899645
"GAL4","GAL10",1,TRUE,0.460008377023041,1.68073474212317
"GAL4","GAL2",1,TRUE,0.509269184526056,1.35766848294297
"GAL4","GAL3",1,TRUE,0.54078931719996,1.20616949683055
"GAL4","GAL7",1,TRUE,0.554454009095207,1.20871413788758
"GAL4","GAL80",1,TRUE,0.490757104149088,1.30148620747728
"GAL4","GCY1",1,TRUE,0.469796207919717,1.08652668196009
"GAL4","LAP3",1,TRUE,0.455290320049971,1.32297599634621
"GAL4","MEL1",1,TRUE,0.442930577276275,1.13806926152902
"GAL4","MTH1",1,TRUE,0.41793830152601,1.58138563450659
"GAL4","PCL10",1,TRUE,0.594241496687755,1.17919692219701
"GAL4","PGM2",1,TRUE,0.457184823742136,1.39305716218892
"GAT1","DAL80",1,TRUE,0.598624970018864,1.52655270230956
"GAT1","DAL80_GZF3",1,TRUE,0.553259889828041,1.18834953665035
"GAT1","GAP1",1,TRUE,0.526908542541787,1.10250245971605
"GAT1","GLN1",1,TRUE,0.593859124882147,1.2170705805812
"GCN4","ADE1",1,TRUE,0.535105505771935,1.6634736474813
"GCN4","ADE2",1,TRUE,0.572939241630957,1.54470466474304
"GCN4","ADE4",1,TRUE,0.513834229344502,1.11356793774059
"GCN4","ADE5",1,TRUE,0.548984758928418,1.22861676253378
"GCN4","ADE8",1,TRUE,0.40239311340265,1.53665244062664
"GCN4","ARG1",1,TRUE,0.515780208725482,1.53201114671305
"GCN4","ARG2",1,TRUE,0.417105780635029,1.58158501903526
"GCN4","ARG3",1,TRUE,0.446069377660751,1.25258398466278
"GCN4","ARG4",1,TRUE,0.493297158880159,1.10034302537795
"GCN4","ARG5",1,TRUE,0.444207746256143,1.0914813939319
"GCN4","ARG7",1,TRUE,0.51242674831301,1.07168756728992
"GCN4","ARG8",1,TRUE,0.497272551385686,1.12215956394561
"GCN4","ARO3",1,TRUE,0.462627655966207,1.44095600201515
"GCN4","ARO4",1,TRUE,0.410301095666364,1.19684882874601
"GCN4","ARO7",1,TRUE,0.464045993750915,1.37415323138703
"GCN4","ASN1",1,TRUE,0.514703852171078,1.08056601510383
"GCN4","ASN2",1,TRUE,0.555815144302323,1.05796330238227
"GCN4","CPA1",1,TRUE,0.401578048616648,1.2165459203464
"GCN4","CPA2",1,TRUE,0.538630949845537,1.24988863456994
"GCN4","DAL1",1,TRUE,0.59778641150333,1.21353353798157
"GCN4","DAL5",1,TRUE,0.563506722077727,1.3002740750066
"GCN4","GCV3",1,TRUE,0.593582010921091,1.37232432659483
"GCN4","GLN1",1,TRUE,0.431767224660143,1.21060279922327
"GCN4","GLT1",1,TRUE,0.414466007286683,1.67835480379406
"GCN4","HAL1",1,TRUE,0.469505919516087,1.65063498415519
"GCN4","HIS1",1,TRUE,0.475392305385321,1.21389970810618
"GCN4","HIS2",1,TRUE,0.51027811425738,1.26229417798342
"GCN4","HIS3",1,TRUE,0.564184834063053,1.48201279311907
"GCN4","HIS4",1,TRUE,0.533877497911453,1.28544092570897
"GCN4","HIS5",1,TRUE,0.553005299996585,1.35158631186467
"GCN4","HIS7",1,TRUE,0.496526101510972,1.46154838402756
"GCN4","HOM2",1,TRUE,0.509360875375569,1.5858503328613
"GCN4","HOM3",1,TRUE,0.476640618266538,1.52676782425959
"GCN4","ILV1",1,TRUE,0.591225974401459,1.13892988379579
"GCN4","ILV2",1,TRUE,0.557815838325769,1.43857645841083
"GCN4","ILV5",1,TRUE,0.412404692405835,1.04598418992711
"GCN4","KRS1",1,TRUE,0.504787993896753,1.3547387826466
"GCN4","LEU3",1,TRUE,0.53658000654541,1.65234513044823
"GCN4","LEU4",1,TRUE,0.407732711173594,1.62999392215163
"GCN4","LPD1",1,TRUE,0.435226191859692,1.3405061931978
"GCN4","LYS1",1,TRUE,0.497935116151348,1.04351719751488
"GCN4","LYS2",1,TRUE,0.427665743837133,1.56874073943589
"GCN4","MET16",1,TRUE,0.516884198598564,1.46644998439122
"GCN4","MET17",1,TRUE,0.560850476007909,1.02270908789011
"GCN4","MET4",1,TRUE,0.49700275035575,1.03096271915827
"GCN4","PRO1",1,TRUE,0.563028098689392,1.14824709157227
"GCN4","SER1",1,TRUE,0.552173366537318,1.4072167643439
"GCN4","SHM2",1,TRUE,0.410481828730553,1.6435267453827
"GCN4","THR1",1,TRUE,0.536307062860578,1.17958788351156
"GCN4","TRP2",1,TRUE,0.507359784655273,1.37482692392077
"GCN4","TRP3",1,TRUE,0.488247168483213,1.5167228019936
"GCN4","TRP4",1,TRUE,0.513305670302361,1.48981500447495
"GCN4","TRP5",1,TRUE,0.498232897138223,1.34506757341791
"GCR1","ADH1",1,TRUE,0.549613353284076,1.4830420362833
"GCR1","APA1",1,TRUE,0.557794522168115,1.50175807696767
"GCR1","GLK1",1,TRUE,0.498502013972029,1.43252303653397
"GCR1","GPM1",1,TRUE,0.485377664491534,1.30603489706293
"GCR1","RPL24A",1,TRUE,0.410638871323317,1.48947377783945
"GCR1","RPS14A",1,TRUE,0.402693994762376,1.19454890162684
"GCR1","RPS14B",1,TRUE,0.413652974646538,1.25104524852708
"GCR1","SUR4",1,TRUE,0.473032177239656,1.57999554767273
"GCR1","TEF1",1,TRUE,0.442559647047892,1.59024123824667
"GCR1","TEF2",1,TRUE,0.480617464287207,1.27851849772036
"GIS1","PHR1",1,FALSE,0.571986528858542,1.4127952630748
