from,to,weight,activation,EC50,n
HAP1,HMG1,1,TRUE,0.56759716,1.686998671
HAP1,HYP2,1,TRUE,0.590803079,1.572239509
HAP1,QCR2,1,TRUE,0.585181076,1.495397445
HAP1,ROX1,1,TRUE,0.420960777,1.567523578
HAP1,SOD1,1,TRUE,0.461271307,1.653360032
HAP1,SOD2,1,TRUE,0.44905002,1.442571564
HAP2,AAC1,1,TRUE,0.55058196,1.51121512
HAP2,ACO1,1,TRUE,0.490597443,1.630944312
HAP2,ASN1,1,TRUE,0.540943841,1.531184119
HAP2,SDH4,1,TRUE,0.565801351,1.59217334
HAP3,ASN1,1,TRUE,0.460430278,1.430213241
HAP4,MDH1,1,TRUE,0.448890651,1.532148348
HDA1,ERG10,1,FALSE,0.569992119,1.697884048
HDA1,INH1,1,FALSE,0.515920883,1.69654959
HDA1,INO1,1,FALSE,0.469480636,1.711271095
HDA1,PHO3,1,FALSE,0.575569726,1.640398336
HDA1,PHO5,1,FALSE,0.509080991,1.565564008
HSF1,CUP1A,1,TRUE,0.429118325,1.702332533
HSF1,CUP1B,1,TRUE,0.559257927,1.761579546
HSF1,DDR48,1,TRUE,0.433078292,1.768213522
HSF1,HSC82,1,TRUE,0.578357014,1.465525722
HSF1,HSP104,1,TRUE,0.407569222,1.495434644
HSF1,HSP12,1,TRUE,0.490328021,1.677357993
HSF1,HSP26,1,TRUE,0.588306501,1.484264092
HSF1,HSP82,1,TRUE,0.502915746,1.453474261
HSF1,KAR2,1,TRUE,0.565960576,1.682070722
HSF1,RPL40A,1,TRUE,0.518115502,1.548007495
HSF1,SSA1,1,TRUE,0.493990173,1.799661349
HSF1,SSA3,1,TRUE,0.447382098,1.425338608
HSF1,SSE1,1,TRUE,0.563197643,1.708134482
HSF1,UBI4,1,TRUE,0.427138261,1.742354867
IME1,DIT1,1,TRUE,0.478139685,1.559167077
IME1,HOP1,1,TRUE,0.491679726,1.469606777
IME1,IME2,1,TRUE,0.59403324,1.431711607
IME1,MER1,1,TRUE,0.474718413,1.504695793
IME1,REC114,1,TRUE,0.514870292,1.786301992
IME1,RIM11,1,TRUE,0.550046029,1.667934681
IME1,RIM4,1,TRUE,0.504807745,1.60136923
IME1,SGA1,1,TRUE,0.529881535,1.410933614
IME1,SPO11,1,TRUE,0.4094718,1.777291693
IME1,SPO13,1,TRUE,0.549958836,1.532431458
IME1,SPS1,1,TRUE,0.551350459,1.467277377
IME1,SPS2,1,TRUE,0.406518475,1.77430529
IME1,SPS4,1,TRUE,0.437122593,1.743785508
IME4,IME1,1,TRUE,0.551254912,1.766729314
IME4,IME1_UME6,1,TRUE,0.429265236,1.751731681
INO2,ACC1,1,TRUE,0.425247175,1.665934691
INO2,ADK1,1,TRUE,0.498217674,1.497606221
INO2,PHO5,1,TRUE,0.423155214,1.570833647
INO2,PMA1,1,TRUE,0.498660801,1.52040298
INO2_INO4,CDS1,1,TRUE,0.465208838,1.651600996
INO2_INO4,CHO1,1,TRUE,0.465688779,1.782144611
INO2_INO4,CHO2,1,TRUE,0.533334163,1.529639496
INO2_INO4,CKI1,1,TRUE,0.517100659,1.509410706
INO2_INO4,EPT1,1,TRUE,0.58497989,1.427763545
