"pathway","phnx_z_score","mean_path_score","sd_path_score"
"module 219",-0.28158829661025,0.01017609,0.0109240690647654
"module 222",-0.262737731219616,0.01015653,0.0114050235042004
"module 229",3.35441983853762,0.01118029,0.0119691964430736
"module 236",2.05918872090403,0.01338633,0.0130506105279179
"module 237",-0.516700993038504,0.02027499,0.0144474078830418
"module 239",-0.546948182736281,0.02425886,0.0169830713277619
"module 240",-0.536725651522794,0.01745411,0.0141769076592697
"module 241",0.743852781710807,0.04517681,0.0231674740267354
"module 243",-0.571289879897834,0.02198682,0.0174461693628853
"module 245",-0.356393898324409,0.01062015,0.0114203694820138
"module 247",-0.807251110116612,0.05117859,0.0243277336554707
"module 248",-0.0438440793077246,0.11880612,0.0377729450851587
"module 249",-0.377699287755638,0.01036197,0.0111516493055318
"module 255",-1.56731965638509,0.25759307,0.0537114874155042
"module 256",-0.526150245839862,0.01849899,0.0153549106246334
"module 257",-0.728634537792548,0.04401123,0.0213704253536679
"module 261",0.825710990212606,0.03914624,0.0221188287627096
"module 262",-0.727409238835866,0.03517924,0.0205238526030993
"module 267",-0.245152315860863,0.00316895,0.00533933361144709
"module 275",-0.441980926881571,0.01363424,0.0127250739973832
"module 277",-0.316273097668873,0.01076969,0.0120139525871977
"module 279",3.08944247734653,0.08418979,0.0307823209842314
"module 284",-0.455002398989346,0.0174595,0.0147460760974078
"module 285",1.89717758390858,0.02087799,0.01468603162736
"module 287",-0.306338193255607,0.05276341,0.0257343360167373
"module 291",0.84177119291607,0.04120442,0.0226137223038684
"module 297",-1.45680162484626,0.14926137,0.0409742609988503
"module 298",-0.789927988570828,0.04146897,0.0217348546303098
"module 299",-0.522789307145858,0.01753147,0.0139089876181635
"module 311",-0.48944252153419,0.01949978,0.0146693016730433
"module 313",-0.524745681940725,0.01802989,0.0155978224913236
"module 316",-0.908988229491496,0.05603544,0.025715888546848
"module 317",-1.43549394347371,0.24710561,0.0568275542860166
"module 318",1.20812701768769,0.01370368,0.0125535806897422
"module 322",-0.573968950487529,0.02125932,0.0163585852371016
"module 323",-0.182863917399232,0.00327125,0.00596755234996721
"module 326",-0.544242066519028,0.0203543,0.0144683781067568
"module 327",-0.578183031088719,0.02081963,0.0153924095337803
"module 328",-0.328680895081997,0.00704153,0.00928417211240321
"module 331",-0.522261786663161,0.01766684,0.0145843333640502
"module 332",-0.336153158309083,0.00645574,0.00828711535543149
"module 333",-0.489851279670677,0.01330228,0.0120695407879199
