"gene","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165","h_cent"
"SCGB1D2",0.171953414599937,0.187511070818812,0.119249330399164,0.279601140597644,0
"KLK11",0.167456058777214,0.208435438490297,0.188706578420597,0.0670339037915624,0
"HLF",0.157749412570873,0.124593398786256,0.098140984315948,0.257131506658177,0
"PEG10",0.143524572458915,0.342076856482708,0.0245483368196329,0.0646081944222556,0
"CLDN8",0.133886521474598,0.139340336577109,0.109148270261785,0.0159498423115479,
"SCGB2A1",0.13076007195281,0.117447078030919,0.0123715066289877,0.0768413496430362,0
"SERHL /// SERHL2",0.129675155670902,0.174628455684729,0.163323799394251,0.0337650781390356,0
"FMO5",0.127730994784471,0.213415672912828,0.191506433300196,0.125278659378096,0
"GFRA1",0.127429280228316,0.224100791806979,0.0896432711686487,0.189715678199658,0
"PNMT",0.12356371603751,0.0970955262054327,0.0669217554744668,0.0717442929156815,0
"TJP3",0.121109382986016,0.22193921333552,0.00293168022276807,0.141251990852521,0
"HGD",0.120496755633725,0.124503949030528,0.107188809558111,0.154618843759025,0
"IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV4-31",0.119909189262483,0.151956053666978,0.0953545456990238,0.164091587916613,
"HSD17B2",0.119085278798519,0.0354093710541829,0.0088052072751728,0.138699105148955,0
"MISP",0.114840214267549,0.105379115980409,0.0326683533587622,0.0810168813365589,0
"PSPH",0.111515058192592,0.129538912699263,0.0324416042744977,0.14638244042863,0
"HLA-DQA1",0.111015880918725,0.303452158086806,0.0187613983232915,0.140293811005692,0
"SERPINB5",0.109815019209484,0.0727452292615176,0.00867263831524828,0.0364303405242821,0
"COL2A1",0.108058946206861,0.253840069192679,0.107189884413132,0.105345520778659,0
"SEMA6A",0.106735251907296,0.195892391390581,0.152525805851129,0.1995937918888,0
"HPX",0.105307213633327,0.0728911769414421,0.00664378956867589,0.131781872374791,0
"AK5",0.105306491901643,0.0557759929231838,0.0042318306839565,0.0373260879863728,0
"TOX3",0.104944865937668,0.13409334923266,0.167371198351786,0.0206056116566438,0
"CST1",0.104402584390637,0.0705228445476736,0.120383004595154,0.0563207272565721,
"CCL13",0.104270914426174,0.127637130349616,0.0199890138768812,0.0974730962779971,0
"MMP12",0.104208277329546,0.153266925234238,0.0203871100678484,0.0396723463772569,0
"PTTG3P",0.10230472536737,0.053021181712587,0.10739950704239,0.185499883396891,
"SVEP1",0.100480179990669,0.199447289034203,0.102768662534273,0.0917283906453812,0
"TCN1",0.100420844432597,0.183432880312996,0.0508363169809011,0.0543709505514629,0
"CYBRD1",0.100380688510145,0.155080645560121,0.012087246326058,0.0341060178361437,0
"CRABP1",0.0995319627610253,0.0628658474998262,0.0532648159257003,0.0759299085085387,0
"S100A2",0.0990786538391144,0.197682710746095,0.0733636788930882,0.0927240146200099,0
"GREB1",0.0990417533872394,0.108361506162914,0.0419647550121568,0.0381732442626128,0
"FOLR1",0.0984264080241361,0.0881340157609572,0.0551790679681811,0.0668778933042546,0
"S100P",0.0970921641571807,0.0803706077889363,0.0192523205478981,0.0192237469531124,0
"ZBTB16",0.0968704850380511,0.357661793906643,0.0871636130098578,0.0424239138929499,0
"COCH",0.096787409114354,0.183791550069688,0.103204399694831,0.0775748727772946,0
"SIX1",0.0943253212862495,0.095805416196768,0.110976883554202,0.0319806427498116,0
"TSPAN8",0.0941771743409875,0.18710028401726,0.209177684401929,0.114393589408923,0
"CXCL11",0.0938053289634783,0.182072794146813,0.0464316744169929,0.104692113097021,
"CITED1",0.0914157905256708,0.0978093555732618,0.0364806083553157,0.0226473656855752,0
"PDZK1",0.0911668314844621,0.243663839772758,0.0741428192828639,0.0650120336495976,0
"AGTR1",0.0909763096757173,0.097233020511565,0.0697501587624301,0.0422724540471149,0
"HMGCS2",0.0906132325703766,0.158081611396624,0.0586170306037175,0.0404448238079461,0
"NLGN4X",0.0893971146818018,0.0814603492563536,0.0230031097010622,0.0497883659917527,0
"NCAPH",0.0881312971209451,0.0315805822856654,0.0568775137275169,0.0380085835293902,0
"S100A9",0.0872880995294098,0.0967544343869477,0.0467107935459056,0.0954747203328045,0
"KRT16",0.0871941822744503,0.0859505510331026,0.0549542419679003,0.0914114243718906,0
"ABLIM3",0.087110461399035,0.235624790138136,0.0282012688406548,0.106581926039714,0
"S100A7",0.0865572694187716,0.114929723178561,0.176750124265695,0.0455003811013383,0
"TAC1",0.0861020717096862,0.0525261740930655,0.0131188643327897,0.0809793647206642,0
"SYT17",0.0860216523728282,0.122642601380844,0.036319315351831,0.20516761086632,0
"AREG",0.0859605739095186,0.102478329879457,0.0847275253296076,0.03665388575274,0
"CENPE",0.0853558548937717,0.0829466918208051,0.0373669622959424,0.0207600878126232,0
"CLSTN2",0.0851476813707405,0.159616315966505,0.0377900213472743,0.0456432954062836,0
"MYBPC1",0.0851410015136595,0.186099502517819,0.0557772183124568,0.0726998309741856,0
"DSG3",0.0842301684496798,0.0709481526490557,0.0499951166637108,0.0291680281774047,
"PLEKHS1",0.0839638417800606,0.0566895287117809,0.0680287136956524,0.0217416470834077,0
"BEX1",0.0839117388948288,0.171710898888346,0.00412043871514838,0.0378033214091507,
"BCL2A1",0.0838058977110798,0.122055209814155,0.102268945599832,0.0577975594178138,0
"NLRP2",0.0831036220699637,0.179328495232595,0.0857786105147808,0.132405028358426,
"AQP5",0.0830163386041053,0.0485248303785085,0.0251422217377326,0.107918775636711,0
"KLK10",0.0825055138093281,0.103920627826811,0.0178900017025384,0.0923065717936455,0
"LRP2",0.0815891065197843,0.0542808432493415,0.0277300873645176,0.0402784354418104,0
"GRP",0.0814812229889278,0.100686595581548,0.103592461207671,0.0296089450649594,0
"HCG4",0.0811490344640892,0.0416277480978872,0.0254748343290414,0.118241450753703,0
"SLC1A1",0.081129885540457,0.114380262952214,0.0105949323452974,0.0916975670968563,0
"ALDH3B2",0.0811016151568107,0.129776740933388,0.0101847424165839,0.255433561646752,0
"CLCA2",0.0804792981727539,0.0643183947093962,0.0626281434917411,0.130404679126223,0
"ACTA1",0.0798955554438407,0.0392294116692426,0.0308452665046622,0.145949686505912,0
"CEACAM6",0.0797335497146348,0.112234013023361,0.0107341382112264,0.0325641960712837,0
