gene,influence
CYB5A,2.17E-03
CYBRD1,2.31E-03
CYCSP44 /// GS1-103B18.1,2.11E-03
CYP21A1P /// CYP21A2,2.21E-03
CYP24A1,2.33E-03
CYP26A1,2.16E-03
CYP26B1,2.39E-03
CYP2B7P,1.86E-03
CYP39A1,1.95E-03
CYP3A5,2.10E-03
CYP4B1,1.91E-03
CYP4F11,2.10E-03
CYP4F12,2.03E-03
CYP4F3,2.23E-03
CYP4F8,1.80E-03
CYTL1,2.04E-03
DACH1,2.11E-03
DBF4,1.80E-03
DBNDD1,1.98E-03
DBNDD2 /// SYS1 /// SYS1-DBNDD2,2.14E-03
DCAF10,1.52E-03
DCAF13,2.32E-03
DCLK1,2.05E-03
DCN,2.19E-03
DDX43,1.88E-03
DEK,2.33E-03
DENND2A,1.81E-03
DENND5B,2.65E-03
DEPDC1,2.28E-03
DEPTOR,2.15E-03
DGKE,1.73E-03
DGKI,2.22E-03
DHRS2,2.21E-03
DIAPH3,2.57E-03
DIO1,1.31E-03
DIO2,1.73E-03
DIRAS2,1.85E-03
DIRAS3,2.24E-03
DKK1,1.98E-03
DKK2,2.27E-03
DKK3,2.95E-03
DLG4,1.83E-03
DLGAP1,1.82E-03
DLGAP5,2.02E-03
DLL3,1.98E-03
DLX2,1.05E-02
DLX5,9.25E-03
DMD,2.36E-03
DMRT1,1.39E-02
DNAJC12,1.78E-03
DNAJC6,2.15E-03
DNALI1,2.51E-03
DNASE2B,1.88E-03
DNMBP,1.66E-03
DNMT3A,2.29E-03
DOC2A,2.09E-03
DOCK10,1.94E-03
DOPEY1,1.97E-03
DPT,1.86E-03
DPY19L1P1,2.08E-03
DPY19L2P2,1.73E-03
DSC1,2.38E-03
DSC2,2.06E-03
DSC3,1.58E-03
DSG1,2.15E-03
DSG3,2.14E-03
DST,1.64E-03
DTNB,1.85E-03
DUSP1,2.05E-03
DUSP2,2.24E-03
DUSP4,1.86E-03
DVL3,2.32E-03
DYRK1B,1.99E-03
E2F8,2.61E-02
EBLN2,1.75E-03
ECT2,2.17E-03
EDN1,1.64E-03
EDN2,2.63E-03
EDN3,2.36E-03
EDNRA,1.93E-03
EEA1,2.11E-03
EEF1A2,2.10E-03
EFCC1,2.07E-03
EFEMP1,1.97E-03
EFHD1,2.01E-03
EFNA5,1.95E-03
EFNB3,1.81E-03
EGF,2.13E-03
EGFR,1.78E-03
EGOT,1.85E-03
EGR1,5.16E-02
EGR3,4.63E-02
EHBP1L1,1.98E-03
EHF,4.19E-02
EHHADH,1.88E-03
EIF2S2,2.08E-03
EIF5A2,2.02E-03
ELAVL2,2.08E-03
ELF5,3.09E-02
ELK4,2.47E-02
ELN,1.78E-03
ELOVL2,1.82E-03
