"gene","h_cent"
"EIF4A2 /// MIR1248 /// SNORA4 /// SNORA63 /// SNORA81 /// SNORD2",47.3333333333333
"EPCAM",47.3333333333333
"GEMIN6",47.3333333333333
"GRB2",47.3333333333333
"GTF3C2",47.3333333333333
"HEXIM1",47.3333333333333
"HNRNPH1",47.3333333333333
"IDI1",47.3333333333333
"LMNA",47.3333333333333
"LTBP3",47.3333333333333
"MAN2C1",47.3333333333333
"MARK3",47.3333333333333
"MDH1",47.3333333333333
"MRPL48",47.3333333333333
"NAB2",47.3333333333333
"OPA1",47.3333333333333
"OSBPL2",47.3333333333333
"PEX13",47.3333333333333
"PLCG1",47.3333333333333
"POLR3B",47.3333333333333
"PPIP5K2",47.3333333333333
"PRKAR1A",47.3333333333333
"PTRH2",47.3333333333333
"RBBP5",47.3333333333333
"RPN1",47.3333333333333
"RPS29",47.3333333333333
"SCAF11",47.3333333333333
"SERP1",47.3333333333333
"SLC25A32",47.3333333333333
"SOS1",47.3333333333333
"TCF25",47.3333333333333
"TDP1",47.3333333333333
"TMBIM6",47.3333333333333
"TPD52",47.3333333333333
"TUBA1C",47.3333333333333
"USP9X",47.3333333333333
"VPS13D",47.3333333333333
"ZBTB38",47.3333333333333
"ZNF213-AS1",47.3333333333333
"AHNAK",47.3333333333333
"CLK1",47.3333333333333
"COMT",47.3333333333333
"CPSF1",47.3333333333333
"CYP51A1 /// LRRD1",47.3333333333333
"DLST",47.3333333333333
"HEBP2",47.3333333333333
"HNRNPA2B1",47.3333333333333
"INTS5",47.3333333333333
"KLF10",47.3333333333333
"MAT2A",47.3333333333333
"MED15",47.3333333333333
"MED23",47.3333333333333
"PDCD10",47.3333333333333
"PRKAB2",47.3333333333333
"RBM15",47.3333333333333
"SPAG1",47.3333333333333
"TACO1",47.3333333333333
"ESYT1",47.1666666666667
"KDM3A",47.1666666666667
"UNC45A",47.1666666666667
"NR4A1",47.1666666666667
"RNF44",47.1666666666667
"ZC3H4",47.1666666666667
"ZNF331",47.1666666666667
"MAFK",47
"AAAS",47
"ABCA3",47
"ATP6V0A4",47
"BCAS2",47
"CHST12",47
"CLCN3",47
"COX16 /// SYNJ2BP-COX16",47
"DGKA",47
"ITGB5",47
"NACAP1",47
"NFX1",47
"RHOF",47
"SPAG9",47
"SQLE",47
"SRGAP3",47
"SRRM1",47
"TACSTD2",47
"TGIF1",47
"UTRN",47
"EML2",47
"FNDC3B /// LOC101928615",47
"HK1",47
"KPNB1",47
"MIOS",47
"PDZK1",47
"RHOBTB3",47
"SLC35E1",47
"SQSTM1",47
"HSF1",46.8333333333333
"MNT",46.8333333333333
"ABCD4",46.8333333333333
"ATG5",46.8333333333333
"ATXN2L",46.8333333333333
"AURKA",46.8333333333333
"CASKIN2",46.8333333333333
"CCT5",46.8333333333333
"CD164",46.8333333333333
"CDK5RAP2",46.8333333333333
"COBLL1",46.8333333333333
"CSTF1",46.8333333333333
"CYP24A1",46.8333333333333
"DDB2",46.8333333333333
"DDIT3",46.8333333333333
"DDX42",46.8333333333333
"EFHC1",46.8333333333333
"FBRS",46.8333333333333
"GTF2A1",46.8333333333333
"HUS1",46.8333333333333
"IQCG",46.8333333333333
"ITGB2",46.8333333333333
"ITGB3BP",46.8333333333333
"KNTC1",46.8333333333333
"LPAR2",46.8333333333333
"LSG1",46.8333333333333
"METTL9",46.8333333333333
"MGLL",46.8333333333333
"MRPS31",46.8333333333333
"MTIF2",46.8333333333333
"NADK",46.8333333333333
"NAP1L1",46.8333333333333
"NBPF1",46.8333333333333
"NFE2L1",46.8333333333333
"NOL8",46.8333333333333
"NR1H3",46.8333333333333
"NR2C2",46.8333333333333
"OTUD7B",46.8333333333333
"PARK7",46.8333333333333
"PMEPA1",46.8333333333333
"PRKCSH",46.8333333333333
"PRPSAP1",46.8333333333333
"RNF139",46.8333333333333
"RPIA",46.8333333333333
"RPRD2",46.8333333333333
"SEC22B",46.8333333333333
"SLC24A1",46.8333333333333
"SLC4A7",46.8333333333333
"SMAGP",46.8333333333333
"SPTBN4",46.8333333333333
"TCEA2",46.8333333333333
"TFRC",46.8333333333333
"TPK1",46.8333333333333
"VAMP8",46.8333333333333
"VEZF1",46.8333333333333
"WDR11",46.8333333333333
"WDR25",46.8333333333333
"ZBTB25",46.8333333333333
"ZNF250",46.8333333333333
"ZNF609",46.8333333333333
"ZNF706",46.8333333333333
"ARPP19",46.8333333333333
"CLPB",46.8333333333333
"DBI",46.8333333333333
"ENO1",46.8333333333333
"FAM212B /// LOC101928718",46.8333333333333
"GPR137",46.8333333333333
"KAT6B",46.8333333333333
"KEAP1",46.8333333333333
"LAD1",46.8333333333333
"PKNOX1",46.8333333333333
"PRPF40A",46.8333333333333
"REV3L",46.8333333333333
"TMEM222",46.8333333333333
"TOB2",46.8333333333333
"ACTB",46.6666666666667
"AHCY",46.6666666666667
"C2CD2L",46.6666666666667
"C2CD5",46.6666666666667
"CHD8",46.6666666666667
"CHEK2",46.6666666666667
"HDLBP",46.6666666666667
"HNRNPF",46.6666666666667
"IER5",46.6666666666667
"TPD52L2",46.6666666666667
"TSFM",46.6666666666667
"TUFT1",46.6666666666667
"USP36",46.6666666666667
"FAF1",46.6666666666667
"FIS1",46.6666666666667
"KRT18",46.6666666666667
"PATZ1",46.6666666666667
"SAP30BP",46.6666666666667
"VPS28",46.6666666666667
"ANXA4",46.5
"ANXA9",46.5
"ARID1A",46.5
"ATP2A2",46.5
"CDC14B",46.5
"CIZ1",46.5
"CLK4",46.5
"CREBZF",46.5
"ENC1",46.5
"GCC2",46.5
"GFOD1",46.5
"NFATC4",46.5
"NQO1",46.5
"PARL",46.5
"PHLDB1",46.5
"PIK3R1",46.5
"PPFIBP2",46.5
"PSMC2",46.5
"RBL2",46.5
"SFI1",46.5
"SFT2D3 /// WDR33",46.5
"TANK",46.5
"WDR59",46.5
"XPOT",46.5
"ZNF148",46.5
"ITPKC",46.5
"ZNF3",46.5
"ABCB8",46.3333333333333
"ACTN1",46.3333333333333
"AFF4",46.3333333333333
"AKT1",46.3333333333333
"ALG3",46.3333333333333
"ANXA11",46.3333333333333
"ARFRP1",46.3333333333333
"ARHGEF1 /// LOC100505585",46.3333333333333
"ARPC5",46.3333333333333
"ATF7",46.3333333333333
"BCAT2",46.3333333333333
"BDKRB1",46.3333333333333
"CACYBP",46.3333333333333
"CARS2",46.3333333333333
"CHD3",46.3333333333333
"CNOT8",46.3333333333333
"CNTD2",46.3333333333333
"COQ4",46.3333333333333
"COQ6",46.3333333333333
"COQ7",46.3333333333333
"DHCR7",46.3333333333333
"DNAJB1",46.3333333333333
"EEF1A1",46.3333333333333
"EIF2AK3",46.3333333333333
"ENO3",46.3333333333333
"ENTPD5",46.3333333333333
"FAM49B",46.3333333333333
"FANCA",46.3333333333333
"FNBP4",46.3333333333333
"FTSJ3",46.3333333333333
"GARS",46.3333333333333
"GIN1",46.3333333333333
"HOMER2",46.3333333333333
"IPO4",46.3333333333333
"LPP",46.3333333333333
"LRP10",46.3333333333333
"MADD",46.3333333333333
"MAST4",46.3333333333333
"MBNL1",46.3333333333333
"MBTD1",46.3333333333333
"MIS18BP1",46.3333333333333
"MOB4",46.3333333333333
"MPHOSPH9",46.3333333333333
"MYBL1",46.3333333333333
"NABP2",46.3333333333333
"NADSYN1",46.3333333333333
"NAGK",46.3333333333333
"NDUFC2 /// NDUFC2-KCTD14",46.3333333333333
"NOL11",46.3333333333333
"NOP14-AS1",46.3333333333333
"OXR1",46.3333333333333
"PIM1",46.3333333333333
"POLR3C",46.3333333333333
"PRKCD",46.3333333333333
"PTPRH",46.3333333333333
"RBM25",46.3333333333333
"RBM39",46.3333333333333
"RBM47",46.3333333333333
"RECQL4",46.3333333333333
"RERE",46.3333333333333
"RNF115",46.3333333333333
"RPL30",46.3333333333333
"RSRC2",46.3333333333333
"SIKE1",46.3333333333333
"SIRT4",46.3333333333333
"SLC4A2",46.3333333333333
"SLC7A2",46.3333333333333
"SLC9A8",46.3333333333333
"SMARCA4",46.3333333333333
"SNX27",46.3333333333333
"SP1",46.3333333333333
"SREK1",46.3333333333333
"SRSF3",46.3333333333333
"SRSF5",46.3333333333333
"SS18",46.3333333333333
"STRADA",46.3333333333333
"TEX2",46.3333333333333
"TIPIN",46.3333333333333
"TMOD3",46.3333333333333
"TRIP10",46.3333333333333
"UBR5",46.3333333333333
"UGDH",46.3333333333333
"VANGL1",46.3333333333333
"WARS",46.3333333333333
"XPO1",46.3333333333333
"ZGPAT",46.3333333333333
"BAG5",46.3333333333333
"BANF1",46.3333333333333
"BHLHE40",46.3333333333333
"BMS1",46.3333333333333
"CBX3",46.3333333333333
"CHFR",46.3333333333333
"CLUH",46.3333333333333
"COPS5",46.3333333333333
"FBXO24",46.3333333333333
"GNA13",46.3333333333333
"HIST1H4E",46.3333333333333
"IQSEC1",46.3333333333333
"KLK6",46.3333333333333
"MCM9",46.3333333333333
"MTERF3",46.3333333333333
"PDSS1",46.3333333333333
"POLR2H",46.3333333333333
"PTGES2",46.3333333333333
"SEC31A",46.3333333333333
"SH2B1",46.3333333333333
"SNRPE",46.3333333333333
"ST3GAL1",46.3333333333333
"TMBIM4",46.3333333333333
"U2SURP",46.3333333333333
"USPL1",46.3333333333333
"HOOK2",46.3333333333333
"MAZ",46.1666666666667
"BAZ2A",46.1666666666667
"CDC42EP4",46.1666666666667
"CNPPD1",46.1666666666667
"FADS2",46.1666666666667
"G6PD",46.1666666666667
"ITGA3",46.1666666666667
"JADE1",46.1666666666667
"MUS81",46.1666666666667
"SLC38A2",46.1666666666667
"C12orf49",46.1666666666667
"C2orf42",46.1666666666667
"HDGF",46.1666666666667
"PSCA",46.1666666666667
"RNFT2",46.1666666666667
"ZKSCAN1",46
"AKAP10",46
"AP4E1",46
"ARID4A",46
"CENPJ",46
"EPN3",46
"FOXN3",46
"GSTCD",46
"MTUS1",46
"SIPA1L1",46
"SLC7A8",46
"TACC2",46
"TAZ",46
"ZNF282",46
"EPM2AIP1",46
"MED13",46
"PA2G4",46
"PRPF18",46
"TRA2B",46
"ARNT",45.8333333333333
"TFAP2A",45.8333333333333
"ACADVL",45.8333333333333
"ACOX1",45.8333333333333
"ACP2",45.8333333333333
"ADAP1",45.8333333333333
"ADNP",45.8333333333333
"AHI1",45.8333333333333
"ARIH1",45.8333333333333
"ARPC5L",45.8333333333333
"ATP1A1",45.8333333333333
"ATP1B1",45.8333333333333
"ATP5S",45.8333333333333
"ATXN2",45.8333333333333
"BCL2L13",45.8333333333333
"BPTF",45.8333333333333
"BUD31",45.8333333333333
"C14orf93",45.8333333333333
"CAST",45.8333333333333
"CCDC90B",45.8333333333333
"CD63",45.8333333333333
"CDIPT",45.8333333333333
"CDKN1A",45.8333333333333
"CEP112",45.8333333333333
"CGGBP1",45.8333333333333
"CHPT1",45.8333333333333
"CNOT2",45.8333333333333
"CNPY4",45.8333333333333
"COPS4",45.8333333333333
"CREM",45.8333333333333
"CSAD",45.8333333333333
"CTNNA1",45.8333333333333
"CYP1B1",45.8333333333333
"DCAF10",45.8333333333333
"DDX54",45.8333333333333
"DECR1",45.8333333333333
"DGKE",45.8333333333333
"DIP2A",45.8333333333333
"DPM1",45.8333333333333
"DRG2",45.8333333333333
"DZIP3",45.8333333333333
"EIF3B",45.8333333333333
"EIF5",45.8333333333333
"ENTPD1-AS1",45.8333333333333
"ERBB3",45.8333333333333
"FAM117A",45.8333333333333
"GDF15",45.8333333333333
"HIST1H4D",45.8333333333333
"INHA",45.8333333333333
"IQCH",45.8333333333333
"KBTBD2",45.8333333333333
"KRR1",45.8333333333333
"LDHA",45.8333333333333
"LSM4",45.8333333333333
"LYRM1",45.8333333333333
"MAN1A2",45.8333333333333
"MARK4",45.8333333333333
"MCM3AP",45.8333333333333
"MEF2B /// MEF2BNB /// MEF2BNB-MEF2B",45.8333333333333
"MEPCE",45.8333333333333
"MTR",45.8333333333333
"NDUFC1",45.8333333333333
"NPC1",45.8333333333333
"OBSL1",45.8333333333333
"PAPOLA",45.8333333333333
"PCM1",45.8333333333333
"PDGFB",45.8333333333333
"PFKM",45.8333333333333
"PKP4",45.8333333333333
"POMT2",45.8333333333333
"PPME1",45.8333333333333
"PSMC5",45.8333333333333
"PSMD9",45.8333333333333
"RBM8A",45.8333333333333
"RFC2",45.8333333333333
"RPL10 /// SNORA70",45.8333333333333
"RPS7",45.8333333333333
"RPS8",45.8333333333333
"RSAD1",45.8333333333333
"SEC14L1",45.8333333333333
"SLC33A1",45.8333333333333
"SLC37A1",45.8333333333333
"SOCS2",45.8333333333333
"SPINT2",45.8333333333333
"SSH3",45.8333333333333
"STK3",45.8333333333333
"SUGCT",45.8333333333333
"SVIL",45.8333333333333
"TBC1D17",45.8333333333333
"TBC1D9",45.8333333333333
"TNPO1",45.8333333333333
"TOX4",45.8333333333333
"TPR",45.8333333333333
"TSC1",45.8333333333333
"TXNIP",45.8333333333333
"UTP3",45.8333333333333
"WSB2",45.8333333333333
"ZC2HC1C",45.8333333333333
"ZCCHC6",45.8333333333333
"ZKSCAN5",45.8333333333333
"ZNF638",45.8333333333333
"ANKMY2",45.8333333333333
"ANKRD40",45.8333333333333
"APRT",45.8333333333333
"ATG101",45.8333333333333
"CENPN",45.8333333333333
"CSNK1G1",45.8333333333333
"CSPP1",45.8333333333333
"DALRD3",45.8333333333333
"DCP1A",45.8333333333333
"ECI1",45.8333333333333
"EXD2",45.8333333333333
"EXD3",45.8333333333333
"FBXL5",45.8333333333333
"FBXO22",45.8333333333333
"GGCX",45.8333333333333
"HELZ",45.8333333333333
"KAT6A",45.8333333333333
"KCTD5",45.8333333333333
"KDSR",45.8333333333333
"KMT2A",45.8333333333333
"LRP6",45.8333333333333
"LSM3",45.8333333333333
"MEF2A",45.8333333333333
"MGEA5",45.8333333333333
"MLH1",45.8333333333333
"MRPL16",45.8333333333333
"MRPL40",45.8333333333333
"MTCH1",45.8333333333333
"N4BP3",45.8333333333333
"POLE3",45.8333333333333
"PRKDC",45.8333333333333
"PTDSS1",45.8333333333333
"RAF1",45.8333333333333
"RITA1",45.8333333333333
"RPL27A",45.8333333333333
"RUFY1",45.8333333333333
"SP2",45.8333333333333
"SRSF7",45.8333333333333
"SUV39H2",45.8333333333333
"TACC3",45.8333333333333
"TBC1D8",45.8333333333333
"USP39",45.8333333333333
"UTP18",45.8333333333333
"ZBTB1",45.8333333333333
"APH1A",45.6666666666667
"CCNG2",45.6666666666667
"CSNK1A1",45.6666666666667
"DCAF11",45.6666666666667
"DGAT1",45.6666666666667
"EDEM1",45.6666666666667
"LIG1",45.6666666666667
"MAD2L1BP",45.6666666666667
"MAP3K12",45.6666666666667
"MRPL44",45.6666666666667
"PC",45.6666666666667
"PHLDA1",45.6666666666667
"PKMYT1",45.6666666666667
"POLDIP2",45.6666666666667
"PRC1",45.6666666666667
"RSRC1",45.6666666666667
"SIRT2",45.6666666666667
"SLC4A1AP",45.6666666666667
"SMIM14",45.6666666666667
"SNX1",45.6666666666667
"SRRT",45.6666666666667
"SYCP2",45.6666666666667
"VASP",45.6666666666667
"CLTB",45.6666666666667
"DIDO1",45.6666666666667
"HSPB1",45.6666666666667
"INTS1",45.6666666666667
"JRK",45.6666666666667
"MTF2",45.6666666666667
"SIAH2",45.6666666666667
"THEM6",45.6666666666667
"UCP2",45.6666666666667
"ZNF354A",45.6666666666667
"ELF1",45.5
"CLIP1",45.5
"CYTH1",45.5
"DNAJC16",45.5
"GALNT10",45.5
"GAPDH",45.5
"HERC1",45.5
"LRRFIP2",45.5
"PHF8",45.5
"SEC14L2",45.5
"STAT6",45.5
"TIMM9",45.5
"VIM",45.5
"ARL4A",45.5
"DNAI1",45.5
"PDCD2",45.5
"TEAD1",45.5
"TP53",45.3333333333333
"ACIN1",45.3333333333333
"ACP6",45.3333333333333
"ACYP1",45.3333333333333
"ALDH1A2",45.3333333333333
"ANAPC2",45.3333333333333
"AP5M1",45.3333333333333
"APOLD1",45.3333333333333
"ATG7",45.3333333333333
"ATP6V1D",45.3333333333333
"AZI2",45.3333333333333
"BAG1",45.3333333333333
"BAZ1B",45.3333333333333
"BLM",45.3333333333333
"C16orf58",45.3333333333333
"CAND1",45.3333333333333
"CASP7",45.3333333333333
"CCDC85C",45.3333333333333
"CCNT2",45.3333333333333
"CCPG1",45.3333333333333
"CDC73",45.3333333333333
"CELF1",45.3333333333333
"CENPT",45.3333333333333
"CEP350",45.3333333333333
"CHD9",45.3333333333333
"CLDN4",45.3333333333333
"CLPX",45.3333333333333
"COX5A",45.3333333333333
"CPT1A",45.3333333333333
"CTNND2",45.3333333333333
"CUL2",45.3333333333333
"DCTN5",45.3333333333333
"DNAJC2",45.3333333333333
"DUSP6",45.3333333333333
"EHD2",45.3333333333333
"EIF2B5",45.3333333333333
"EIF4E2",45.3333333333333
"EPHB4",45.3333333333333
"EXOC5",45.3333333333333
"FANCI",45.3333333333333
"FBXW11",45.3333333333333
"FERMT2",45.3333333333333
"FLVCR2",45.3333333333333
"GPATCH2",45.3333333333333
"GPR107",45.3333333333333
"HDAC7",45.3333333333333
"IGHMBP2",45.3333333333333
"ITGB4",45.3333333333333
"IVNS1ABP",45.3333333333333
"KPNA2",45.3333333333333
"LDLR",45.3333333333333
"MFSD5",45.3333333333333
"MOCS3",45.3333333333333
"MPP5",45.3333333333333
"MYH9",45.3333333333333
"MYL6",45.3333333333333
"MYO6",45.3333333333333
"NCAPD2",45.3333333333333
"NCOA4",45.3333333333333
"NMD3",45.3333333333333
"NSA2",45.3333333333333
"NSUN6",45.3333333333333
"NUP188",45.3333333333333
"NUP214",45.3333333333333
"OARD1",45.3333333333333
"OSER1",45.3333333333333
"PDAP1",45.3333333333333
"PDE6D",45.3333333333333
"PDP1",45.3333333333333
"PEX16",45.3333333333333
"PIPOX",45.3333333333333
"PLGRKT",45.3333333333333
"PLOD3",45.3333333333333
