"gene","h_cent"
"IER5",5373.83333333333
"KDM3A",5373.83333333333
"NFX1",5373.83333333333
"PIK3R1",5373.83333333333
"RERE",5373.83333333333
"RPL30",5373.83333333333
"SLC4A7",5373.83333333333
"TCF25",5373.83333333333
"TGIF1",5373.83333333333
"WDR25",5373.83333333333
"ARPC5",5373.66666666667
"ATR",5373.66666666667
"BATF",5373.66666666667
"CA12",5373.66666666667
"EHD1",5373.66666666667
"EIF2AK3",5373.66666666667
"ERCC1",5373.66666666667
"FBRS",5373.66666666667
"GPRC5C",5373.66666666667
"HNRNPH1",5373.66666666667
"NFE2L1",5373.66666666667
"PRKCD",5373.66666666667
"SMAGP",5373.66666666667
"TNPO1",5373.66666666667
"VANGL1",5373.66666666667
"ZNF250",5373.66666666667
"ABCA5",5373.5
"AHCY",5373.5
"ANAPC13",5373.5
"ARFGEF2",5373.5
"ATP2A2",5373.5
"BDKRB1",5373.5
"BZW1",5373.5
"CCDC88C",5373.5
"CDKL3",5373.5
"CFL1",5373.5
"DLEU2",5373.5
"DTNA",5373.5
"EIF4A2 /// MIR1248 /// SNORA4 /// SNORA63 /// SNORA81 /// SNORD2",5373.5
"GPNMB",5373.5
"HDLBP",5373.5
"NR2C2",5373.5
"OPA1",5373.5
"SNX27",5373.5
"SRRM1",5373.5
"SRSF3",5373.5
"TFRC",5373.5
"TIPIN",5373.5
"UBR5",5373.5
"VEZF1",5373.5
"VPS13D",5373.5
"WARS",5373.5
"ZNF609",5373.5
"DIAPH1",5373.5
"ZNF821",5373.5
"AHI1",5373.33333333333
"C14orf93",5373.33333333333
"CACYBP",5373.33333333333
"CDK5RAP2",5373.33333333333
"CREBZF",5373.33333333333
"DNAJB1",5373.33333333333
"EED",5373.33333333333
"HNRNPF",5373.33333333333
"HUS1",5373.33333333333
"JUP",5373.33333333333
"LMNA",5373.33333333333
"LTBP3",5373.33333333333
"MCM4",5373.33333333333
"NBPF1",5373.33333333333
"NOP14-AS1",5373.33333333333
"OTUD7B",5373.33333333333
"RBL2",5373.33333333333
"SOS1",5373.33333333333
"SPTBN4",5373.33333333333
"USP36",5373.33333333333
"RBBP8",5373.33333333333
"AKT1",5373.16666666667
"ATXN2",5373.16666666667
"DHCR7",5373.16666666667
"EFHC1",5373.16666666667
"EIF5",5373.16666666667
"GCC2",5373.16666666667
"GRK6",5373.16666666667
"ITGB5",5373.16666666667
"LSR",5373.16666666667
"MAST4",5373.16666666667
"MIS18BP1",5373.16666666667
"MRPS31",5373.16666666667
"NFATC4",5373.16666666667
"PSMD5",5373.16666666667
"STK3",5373.16666666667
"STRADA",5373.16666666667
"TACC2",5373.16666666667
"TMOD3",5373.16666666667
"WDR59",5373.16666666667
"ZBTB25",5373.16666666667
"ZNF148",5373.16666666667
"CDC25C",5373.16666666667
"RMND5B",5373.16666666667
"ACOX1",5373
"ARID4A",5373
"ARIH1",5373
"ATP6V0A4",5373
"C2CD5",5373
"CD63",5373
"CHST12",5373
"COQ7",5373
"CRIP2",5373
"DNM1",5373
"FNBP4",5373
"GARS",5373
"GIGYF2",5373
"MYL12A",5373
"NADK",5373
"OSBPL2",5373
"PPFIBP2",5373
"PSMC2",5373
"RFC2",5373
"RRM2",5373
"SIPA1L1",5373
"SP1",5373
"SRSF5",5373
"SS18",5373
"TOB1",5373
"UEVLD",5373
"ANAPC5",5372.83333333333
"ATP1A1",5372.83333333333
"ATP6V1D",5372.83333333333
"BPTF",5372.83333333333
"BUD31",5372.83333333333
"CNPPD1",5372.83333333333
"EDEM1",5372.83333333333
"HOMER2",5372.83333333333
"LDHA",5372.83333333333
"MAN2C1",5372.83333333333
"MAPKAP1",5372.83333333333
"NFAT5",5372.83333333333
"NOL11",5372.83333333333
"NR1H3",5372.83333333333
"PKP4",5372.83333333333
"PLCG1",5372.83333333333
"RBM39",5372.83333333333
"RSRC1",5372.83333333333
"SREK1",5372.83333333333
"TBC1D9",5372.83333333333
"TRIP11",5372.83333333333
"TSFM",5372.83333333333
"KANSL3",5372.83333333333
"ANXA11",5372.66666666667
"ATP5S",5372.66666666667
"CARS2",5372.66666666667
"CAST",5372.66666666667
"CEP112",5372.66666666667
"CIZ1",5372.66666666667
"CNPY4",5372.66666666667
"DHX40",5372.66666666667
"DPM1",5372.66666666667
"LPP",5372.66666666667
"MPHOSPH9",5372.66666666667
"MTUS1",5372.66666666667
"NADSYN1",5372.66666666667
"NUP188",5372.66666666667
"RPIA",5372.66666666667
"SMARCA4",5372.66666666667
"SQLE",5372.66666666667
"SVIL",5372.66666666667
"WDR11",5372.66666666667
"WSB2",5372.66666666667
"HMGB1",5372.66666666667
"ALG3",5372.5
"CNOT2",5372.5
"CSNK1A1",5372.5
"ENTPD1-AS1",5372.5
"ERBB3",5372.5
"GPHN",5372.5
"LSM4",5372.5
"OXR1",5372.5
"PHLDB1",5372.5
"PIM1",5372.5
"PRKCI",5372.5
"PTPRH",5372.5
"RBM47",5372.5
"SFT2D3 /// WDR33",5372.5
"SLC33A1",5372.5
"SLC38A2",5372.5
"SLC9A8",5372.5
"TXNRD1",5372.5
"XPOT",5372.5
"ZNF638",5372.5
"SLC6A6",5372.5
"AZI2",5372.33333333333
"BCL2L13",5372.33333333333
"C2CD2L",5372.33333333333
"CHPT1",5372.33333333333
"CNTD2",5372.33333333333
"CTNND2",5372.33333333333
"CYP1B1",5372.33333333333
"DCAF11",5372.33333333333
"FANCA",5372.33333333333
"ITGB2",5372.33333333333
"LRP10",5372.33333333333
"MBNL1",5372.33333333333
"NAP1L1",5372.33333333333
"NDUFC2 /// NDUFC2-KCTD14",5372.33333333333
"NSA2",5372.33333333333
"PARP2",5372.33333333333
"PLEC",5372.33333333333
"PRMT5",5372.33333333333
"SLC25A3",5372.33333333333
"SND1",5372.33333333333
"SUPT4H1",5372.33333333333
"TOX4",5372.33333333333
"VAMP8",5372.33333333333
"VIM",5372.33333333333
"XPO1",5372.33333333333
"CIRBP",5372.33333333333
"ATXN2L",5372.16666666667
"BAZ1B",5372.16666666667
"CLIP1",5372.16666666667
"EIF3B",5372.16666666667
"ENTPD5",5372.16666666667
"FLVCR2",5372.16666666667
"FOXN3",5372.16666666667
"MAP3K12",5372.16666666667
"MYL12B",5372.16666666667
"NQO1",5372.16666666667
"OSBPL8",5372.16666666667
"PDGFB",5372.16666666667
"PLS1",5372.16666666667
"PSMD9",5372.16666666667
"SLC38A1",5372.16666666667
"SLC7A2",5372.16666666667
"SLC7A6",5372.16666666667
"TSC22D2",5372.16666666667
"TUFT1",5372.16666666667
"ZHX3",5372.16666666667
"SLC16A6",5372.16666666667
"ALDH1A2",5372
"ANKS1B",5372
"BAZ2A",5372
"BCAT2",5372
"C19orf57",5372
"CDC25B",5372
"DNAJC16",5372
"DNAJC2",5372
"KIAA0391",5372
"NCAPD2",5372
"NDUFC1",5372
"NPAS1",5372
"PCNP",5372
"PIGT",5372
"PPME1",5372
"PPP2R3C",5372
"PPP2R5E",5372
