"gene","h_cent"
"ABCC6 /// LOC101930322",0
"ABCC8",0
"ABCD4",0
"ABCE1",0
"ABCF3",0
"ABCG1",0
"ABHD11",0
"ABHD14A /// ACY1",0
"ABHD14A-ACY1 /// ACY1",0
"ABHD17B",0
"ABHD5",0
"ABI2",0
"ABL1",0
"ABLIM1",0
"ABR",0
"ACACA",0
"ACACB",0
"ACAD10",0
"ACADM",0
"ACAP1",0
"ACAT1",0
"ACHE",0
"ACKR2",0
"ACLY",0
"ACO2",0
"ACOT11",0
"ACOT7",0
"ACOT9",0
"ACOX2",0
"ACOX3",0
"ACP2",0
"ACP5",0
"ACSBG1",0
"ACSL3",0
"ACSL6",0
"ACSM5",0
"ACTB",0
"ACTN1",0
"ACTN2",0
"ACTN3",0
"ACTR8",0
"ACVR1B",0
"ADAM10",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM8",0
"ADAMDEC1",0
"ADAMTS1",0
"ADAMTS6",0
"ADAMTS7",0
"ADAMTS9",0
"ADAMTSL2",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADARB1",0
"ADCY3",0
"ADCY6",0
"ADCY7",0
"ADCY9",0
"ADH5",0
"ADM",0
"ADO",0
"ADORA2A /// SPECC1L-ADORA2A",0
"ADORA3",0
"ADPRM",0
"ADRA1D",0
"ADSL",0
"AEBP1",0
"AFAP1",0
"AFF3",0
"AGAP1",0
"AGAP2",0
"AGBL2",0
"AGL",0
"AGMAT",0
"AGO1",0
"AGO2 /// CASC7 /// CASC7 /// DQ574852",0
"AGO4",0
"AGPAT1",0
"AGPAT5",0
"AGRN",0
"AGTPBP1",0
"AHCYL1",0
"AHI1",0
"AIDA",0
"AIMP2",0
"AK1",0
"AK2",0
"AK5",0
"AKAP1",0
"AKAP13",0
"AKAP17A",0
"AKAP6",0
"AKAP8",0
"AKAP9",0
"AKIRIN1",0
"AKT1",0
"AKT2",0
"AKTIP",0
"ALAD",0
"ALCAM",0
"ALDH1A2",0
"ALDH1L1",0
"ALDH2",0
"ALDH3A1",0
"ALDH3A2",0
"ALDH3B1",0
"ALDH7A1",0
"ALG12",0
"ALG13",0
"ALG5",0
"ALG6",0
"ALOX15B",0
"ALOX5AP",0
"ALOXE3",0
"ALPK1",0
"AMDHD2 /// CEMP1",0
"AMN",0
"AMPD1",0
"AMPD2",0
"AMPD3",0
"ANAPC1 /// LOC730268",0
"ANAPC10",0
"ANAPC13",0
"ANAPC2",0
"ANAPC5",0
"ANGPTL2",0
"ANGPTL4",0
"ANK1",0
"ANK3",0
"ANKFY1",0
"ANKHD1 /// ANKHD1-EIF4EBP3",0
"ANKLE2",0
"ANKMY1",0
"ANKRD10",0
"ANKRD11",0
"ANKRD12",0
"ANKRD27",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD36BP2",0
"ANKRD6",0
"ANKS1B",0
"ANKZF1",0
"ANO1",0
"ANO10",0
"ANO2",0
"ANP32A",0
"ANP32E",0
"ANPEP",0
"ANXA11",0
"ANXA2",0
"AOAH",0
"AOX1",0
"AP1G2",0
"AP2A2",0
"AP2M1",0
"AP2S1",0
"AP3D1",0
"AP3M2",0
"AP3S1",0
"AP3S2 /// C15orf38-AP3S2",0
"AP4E1",0
"AP4M1",0
"AP5M1",0
"AP5Z1 /// MIR4656",0
"APBA1",0
"APBA2",0
"APBA3",0
"APBB3 /// MIR6831",0
"APEH",0
"APH1B",0
"APLP1",0
"APLP2",0
"APOL3",0
"APOLD1",0
"APOO",0
"APP",0
"APRT",0
"APTX",0
"ARAF",0
"ARAP1",0
"ARCN1",0
"AREL1",0
"ARF5",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",0
"ARFIP2",0
"ARGLU1",0
"ARHGAP17",0
"ARHGAP24",0
"ARHGAP28",0
"ARHGAP29",0
"ARHGAP32",0
"ARHGAP33",0
"ARHGAP35",0
"ARHGAP4",0
"ARHGAP5",0
"ARHGDIA",0
"ARHGDIG",0
"ARHGEF1 /// LOC100505585",0
"ARHGEF10",0
"ARHGEF12",0
"ARHGEF17",0
"ARHGEF18",0
"ARHGEF2",0
"ARHGEF28",0
"ARHGEF3",0
"ARHGEF4",0
"ARHGEF6",0
"ARHGEF7",0
"ARHGEF9",0
"ARID1A",0
"ARIH2",0
"ARL17A /// ARL17B",0
"ARL3",0
"ARL4A",0
"ARMC6",0
"ARMC8",0
"ARMCX4",0
"ARPC1A",0
"ARPC1B",0
"ARPC2",0
"ARPC3",0
"ARPC5L",0
"ARPP19",0
"ARRB2",0
"ARSA",0
"ARSB",0
"ARTN",0
"ASAH1",0
"ASAP1",0
"ASAP2",0
"ASB13",0
"ASB8",0
"ASCC2",0
"ASCL1",0
"ASCL2",0
"ASGR1",0
"ASH1L",0
"ASH2L",0
"ASIC1",0
"ASMTL-AS1",0
"ASNA1",0
"ASNS",0
"ASPH",0
"ASS1",0
"ASTN2",0
"ASXL1",0
"ATAD3A /// ATAD3B",0
"ATF6B",0
"ATF7IP",0
"ATF7IP2",0
"ATG12",0
"ATG14",0
"ATG16L1",0
"ATG7",0
"ATIC",0
"ATM",0
"ATN1",0
"ATP11A",0
"ATP11B",0
"ATP13A1",0
"ATP13A2",0
"ATP13A3",0
"ATP2A1",0
"ATP2A3",0
"ATP2C1",0
"ATP6AP2",0
"ATP6V0A1",0
"ATP6V0A4",0
"ATP6V0D1",0
"ATP6V0E2",0
"ATP6V1A",0
"ATP6V1B1",0
"ATP6V1B2",0
"ATP6V1D",0
"ATP6V1F /// LOC101927180",0
"ATP6V1H",0
"ATP8A2",0
"ATP8B1",0
"ATP8B2",0
"ATP8B4",0
"ATP9B",0
"ATPAF2",0
"ATR",0
"ATRN",0
"ATXN1",0
"ATXN10",0
"ATXN2",0
"ATXN2L",0
"ATXN7",0
"ATXN7L1",0
"AUH",0
"AUNIP",0
"AUTS2",0
"AVIL",0
"AVPR1A",0
"AVPR2",0
"AXIN1",0
"AXL",0
"AZI2",0
"B2M",0
"B3GAT3",0
"B3GNTL1",0
"B4GALT4",0
"B9D1",0
"BABAM1",0
"BACE1",0
"BACE2",0
"BAD",0
"BAG3",0
"BAHCC1",0
"BAHD1",0
"BAIAP2",0
"BAMBI",0
"BANP",0
"BAZ2B",0
"BBS1",0
"BBS7",0
"BBS9",0
"BBX",0
"BCAN",0
"BCAR3",0
"BCAS1",0
"BCAS2",0
"BCAS3",0
"BCCIP",0
"BCKDHA",0
"BCKDK",0
"BCL2L11",0
"BCL2L13",0
"BCL2L14",0
"BCL3 /// MIR8085",0
"BCL7B",0
"BCL7C",0
"BCL9",0
"BCLAF1",0
"BCOR",0
"BDH1",0
"BECN1",0
"BEGAIN",0
"BFAR",0
"BFSP2",0
"BHLHB9",0
"BICD1",0
"BID",0
"BMI1 /// COMMD3-BMI1",0
"BMP2K",0
"BMP8B",0
"BMPR1A",0
"BNC2",0
"BNIP2",0
"BNIP3",0
"BOLA1",0
"BOLA2 /// BOLA2B",0
"BOP1 /// MIR7112",0
"BORA",0
"BPHL",0
"BRAF /// KIAA1549",0
"BRCA2",0
"BRD2",0
"BRD3",0
"BRD8",0
"BRD9",0
"BRF1",0
"BRIX1",0
"BRMS1",0
"BRSK2",0
"BRWD1",0
"BSCL2 /// HNRNPUL2-BSCL2",0
"BST2",0
"BTAF1",0
"BTBD2",0
"BTD",0
"BTG1",0
"BTG3",0
"BTK",0
"BTN3A1",0
"BTN3A2",0
"BTN3A3",0
"BUB1B",0
"C10orf76",0
"C11orf1",0
"C11orf24",0
"C11orf49",0
"C12orf4",0
"C12orf43",0
"C12orf49",0
"C16orf58",0
"C16orf70",0
"C16orf95",0
"C17orf75",0
"C18orf25",0
"C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C",0
"C19orf24",0
"C19orf54",0
"C1QBP",0
"C1QTNF1",0
"C1R",0
"C1S",0
"C1orf109",0
"C1orf216",0
"C1orf56",0
"C2",0
"C22orf46",0
"C2CD2",0
"C2CD3",0
"C2orf42",0
"C2orf68",0
"C2orf72",0
"C3",0
"C3orf52",0
"C3orf62 /// MIR4271 /// USP4",0
"C4orf46 /// TOMM7",0
"C5orf15",0
"C7orf25 /// PSMA2",0
"C7orf26",0
"C9orf116",0
"C9orf3",0
"C9orf78",0
"CA12",0
"CA2",0
"CA4",0
"CA5B",0
"CA5BP1",0
"CAAP1",0
"CAB39",0
"CAB39L",0
"CABIN1",0
"CACNA1D",0
"CACNA1F",0
"CACNA1G",0
"CACNA2D3",0
"CACNB3",0
"CACNB4",0
"CACTIN",0
"CACYBP",0
"CAD",0
"CADM1",0
"CADPS2",0
"CALCOCO2",0
"CALD1",0
"CALM1",0
"CALR",0
"CALU",0
"CAMK1",0
"CAMK2A",0
"CAMK2B",0
"CAMKMT",0
"CAMLG",0
"CAMSAP1",0
"CAMTA1",0
"CAMTA2",0
"CAND1",0
"CANX",0
"CAP1",0
"CAPG",0
"CAPN1",0
"CAPN2",0
"CAPN3",0
"CAPRIN1",0
"CAPZA2",0
"CAPZB",0
"CARD10",0
"CARD8",0
"CARD9 /// DNLZ",0
"CARS",0
"CARS2",0
"CASC3 /// MIR6866",0
"CASD1",0
"CASKIN2",0
"CASP2",0
"CASP8",0
"CAST",0
"CASZ1",0
"CAT",0
"CATSPERG",0
"CAV2",0
"CBFB",0
"CBL",0
"CBLC",0
"CBLL1",0
"CBLN1",0
"CBS",0
"CBWD1 /// CBWD2 /// CBWD3 /// CBWD5 /// CBWD6 /// CBWD7 /// LOC101060578",0
"CBX1",0
"CBX2",0
"CBX3",0
"CBX6",0
"CBX7",0
"CBY1",0
"CCAR2",0
"CCDC106",0
"CCDC144A",0
"CCDC177",0
"CCDC30",0
"CCDC40",0
"CCDC47",0
"CCDC51",0
"CCDC57",0
"CCDC71",0
"CCDC81",0
"CCDC85C",0
"CCDC87",0
"CCDC88A",0
"CCDC88C",0
"CCDC9",0
"CCNB1",0
"CCNC",0
"CCND1",0
"CCND2",0
"CCND3",0
"CCNL1",0
"CCNL2",0
"CCNT1",0
"CCNT2",0
"CCP110",0
"CCPG1",0
"CCR10",0
"CCS",0
"CCSER2",0
"CCT5",0
"CCT7",0
"CCT8",0
"CD101",0
"CD164",0
"CD22",0
"CD24",0
"CD244",0
