"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"CHA4_input",31.1148794364205,9.35843147240199,16.2991951054573,12.4594864414714,23.7490830106271,20.3534670487937,8.74982751511401,23.6830900717571,17.8468100647835,12.4758429643342,7.38997074358354,4.29751533784077,25.6822667614798,21.0194773100066,9.08200285878031,18.3873864470659,12.555817760687,17.8119636655741,18.5259917205892,16.3224811364059,27.2890051345649,22.7607140934972,11.8167201975642,35.2180618352912,28.7984247103863,37.6344361864179,25.9394022296544,20.0727515504663,29.7622007408713,3.39548604357091,32.5417147418965,29.9322924834789,17.9010011696344,24.1592561758673,34.0931516028127,24.4173825912707,7.816430870109,20.4337348957483,16.3327669831452,27.1721683858315
"CIN5_input",20.5160730617356,30.1190701117416,32.2804498262521,23.5654930957104,17.6452005992661,37.9546620900899,19.634737659647,20.2719337459291,0.463286196257364,13.7575482597639,22.9352940477561,35.3119787737849,18.9408290568122,37.871460803765,20.7926327813109,18.2454353894849,16.8189619491036,12.436111271854,23.808179859104,16.9597239435589,24.7467717347753,8.61171604121284,32.9874487512388,37.5787311177327,13.1044582501567,24.9109144086195,38.9580969159097,20.2504349818391,30.0530704181405,34.6968782583009,18.6477087048802,30.9510974952142,15.8863171706496,17.7085863143267,25.3799607484477,13.7704845875227,37.7109590404962,20.8564410635324,37.1739336029259,11.9792509749751
"CRZ1_input",43.1873616253512,52.3895796034121,43.5496207630145,62.4659989438225,41.9226131766397,39.197488092748,53.4468301777395,8.51536919918848,18.0072942506988,34.1466728090048,8.6995981183989,21.4786829312122,53.5844339425334,55.078694956387,42.137650743581,37.3695455938815,27.8905901395412,35.7368877633612,26.083219119387,41.690658825454,36.0543777119975,44.6403741682611,30.5202029232093,55.3175947957319,63.9862689005589,34.9325384219726,34.5184911639512,40.4839744448471,33.5072482187252,37.7739016178288,57.6000434367997,35.3137036028773,56.6987046490232,56.5100987902301,38.8793110928823,40.4921862011949,36.4077349475565,26.6592634654088,25.4768931755537,32.4002626423466
"CUP2_input",61.5202835586412,53.4726986340611,25.3941196187999,66.5278262996188,46.5228532798342,48.7977744258134,27.5159298922393,37.7351314047301,11.9942763325415,43.9076417985886,23.9970866652684,52.5106275779734,37.026230369246,45.6161936867964,23.0578201263827,43.1549389108159,45.6954535362866,17.472128405186,44.7339270615684,34.0136419418037,30.1444716425502,41.5521768322373,47.970890976768,47.1802526838586,32.7709769194175,22.0687334517201,33.1347287274245,46.2094338649641,36.3173461810555,30.9251031041862,26.8873713923468,34.3557370657764,46.612111342095,68.201153772954,47.2583279383205,28.2381788306558,33.8596241447784,49.1618521758466,30.1544017883989,26.9042798872861
"DAL81_input",33.5126355507525,44.3290378262846,25.4161021012846,22.4784811150151,30.9194075188414,26.5861604793667,5.44039804502787,10.7651293131152,16.30977253745,21.4056521088115,28.7986233541672,22.669691271392,23.2921976762859,21.393534555593,19.4344030486228,26.2828742593327,25.8728036831518,21.3760580837894,32.1749104135458,34.5441425729531,29.7129437091711,23.1072475342734,26.5089466260844,35.3075001586232,26.0665778708732,36.9798556155353,42.5943527517173,5.62734379017267,26.0916316605716,9.81912769083451,29.192048353193,30.5945549604332,17.3638802467173,38.6150926859774,28.3286122393901,22.2245205779455,40.8692276029955,46.1336465071898,38.307168526365,27.5439902497872
"FKH2_input",38.6138698947279,31.4571556814008,18.3412120795249,28.5065370065911,23.789757094961,21.5731302362977,35.3745542293614,6.53022346742081,10.2398784402979,23.9910544520624,23.5135979148474,14.638460155911,18.0132811543768,20.7321773522865,12.3200575370458,17.8244317591179,36.451182397558,15.5411337764476,30.4979378825158,32.0285132311143,4.23666948048946,22.2784012388511,18.4215253602447,5.19509654373308,40.1000967692571,11.2770210153827,39.7290150551362,22.2658011906083,28.0327575147008,28.1221023908612,27.2531205805151,22.7576506812668,18.0438517346044,36.7073797573267,34.9902226864981,13.9411820655806,35.3388664493094,6.63154647050288,24.092975061923,25.239156578558
"FLO8_input",29.1298811075594,43.2964406883085,5.15127210694616,19.800240743747,37.9350734473748,27.2535707117356,20.8830791438533,30.0907662085072,42.6578223549037,24.2552794312463,19.1467609374728,31.7652955942627,32.4989827503171,41.37904934988,30.475708840262,26.6557360446677,14.5608057603829,4.45743237420832,1.67864453310811,28.2775233889839,42.9121777836511,22.0443836097516,2.40350894545372,1.43082007218329,41.8186830812286,25.6858012837597,19.6070053238519,20.9763870721495,0.211807872463633,16.9125200804491,18.4702294292997,31.8069115816053,25.0340519393699,15.6381684825224,21.2028312628012,31.7141543608377,47.8603338155128,25.2392256832948,26.0901374096831,28.9481617271516
"GAL11_input",23.492670577625,64.5039672493479,30.0944267297797,42.0243096187479,61.4384521243951,30.0899954509878,70.6785619741944,69.0441702197187,41.0429292875723,50.4265484820053,48.1392156247707,40.6828455559529,63.2331915444439,31.8451474890415,21.2643491032746,29.222387686108,88.9863690951282,61.1597273609054,44.8552525638803,72.0205487340734,70.4384247254673,50.0513645105009,25.9736174286145,0.0948269785460911,54.8904838122497,45.0382614195161,37.1819712237929,52.2260279448831,28.4142421625908,40.5396250097083,59.302791391181,41.8318331633568,46.5907408113853,36.6392749734516,0.73385222360097,70.8068111716044,30.2363612526333,40.5727238704584,46.7958641407297,45.9055672169841
"GAL4_input",63.5721004625287,87.7726063227023,64.2396936786793,55.7860180165561,106.823053087121,123.287361965519,76.3575539312457,49.1386278134018,119.764242147875,69.2207137455592,54.1838746048246,69.3379884758995,89.2435215788853,73.3895322456766,66.6384402299913,70.4450322093517,99.4528713253174,65.9566440606347,86.7225992738352,54.8184511441363,107.461176791641,114.440266543583,58.828915600219,74.3104636633335,108.271940911488,69.5146876459155,85.724260916737,101.824963051643,122.434606565307,96.841156314494,70.356049374243,56.7879184676197,89.1394971783442,94.8930788624233,64.3808590092967,48.9796562043572,45.3917009803036,81.5050357705342,77.3848493943163,67.3323335734625
"GIS1_input",31.0464373166971,25.95055907124,41.5903549619204,39.5941763490066,25.6048865252621,35.8669131272808,24.4649887067735,18.2029671606258,32.0768935250915,46.1495188122385,47.0981662923993,32.4376534585201,57.2849298337651,40.1885980807053,35.6610320055744,22.6498988003581,23.4070825246849,39.9366321596215,32.8296769991257,47.8167021225975,26.1177489535035,28.6429753475217,23.1919673270299,41.2772850260538,2.16572501457423,47.9578499454239,56.177311425563,23.042516829939,21.6827508381359,12.4560894170611,35.4007821468388,26.8886637911684,34.7068169073651,32.8563472036755,28.271269156422,43.3111402530839,28.2014405415096,32.5460493645459,53.876390016869,31.7469900756127
"GLN3_input",84.7022771089041,76.5674212220439,86.4270981826185,48.097318129892,40.9311828767813,73.9945042241576,66.7708185957568,86.6551283816069,68.6093482393112,91.796375003102,91.2051094138196,150.018236979522,169.153219979843,92.1716418971925,73.2965306406339,12.1086191585449,96.587757826385,83.6916479295279,183.979886810619,73.3231062491785,90.9781208917514,22.7308210214141,79.9692733187986,84.9707332853014,106.923452882525,102.116904999682,172.276575142048,86.4180578811546,122.262655041228,77.5088673565802,154.243939809519,87.7248742937081,21.5847065319663,86.0174038340207,85.2054702840363,75.2900344222696,89.1486992307037,129.512763732322,82.8564662507361,142.439047132809
"HAL9_input",42.5028593337042,29.2586768575734,21.4062162667663,22.8411551704202,33.0494159638537,23.8253766466676,34.9768292138815,5.92934937065168,48.1020831602454,34.0100800251638,19.0952251643734,44.0969004269245,50.8160092858534,23.2238603738775,22.6805001005557,14.1391938407876,21.4716917990863,27.686820387214,44.9229366392824,15.8126661766048,29.9503596394875,33.8047750143807,24.6953649205992,41.810013321715,40.8369683501545,7.94493790673565,11.509643542572,37.2719555231309,2.03589860818809,19.9099013350779,24.7843650727735,34.642084125754,18.7760117864071,22.1895717684317,7.45365097584369,20.2224351523993,35.2827820359907,33.5788310725601,45.937048757922,34.2955073172479
"HAP1_input",85.883479632892,83.6359292663594,119.00737947875,85.419434956571,101.751167236303,62.0956759987544,90.8065783872358,93.2714332564905,2.64720559724414,56.4690295011334,77.8154891224649,64.0606074541246,65.8875203366934,48.8942126942448,78.8055576304458,95.2659637013889,35.4673400436318,122.811595438542,33.0952801672006,76.5821296151224,135.52003118119,71.3658841934601,63.655647607228,93.0714155946231,139.803314700547,115.452782330958,57.1961950302944,140.469237741566,74.0431052096528,88.2053981240655,123.705859063876,64.1847157711646,50.520823317556,55.5585842278127,134.371159121615,126.045341621013,81.268375328443,4.83446140383624,91.5292208536053,124.948127855171
"HAP2_input",52.6444079755788,51.412447370763,38.5228577519544,42.7888730050495,42.1223481703053,46.9759756296519,12.814556558629,33.9900594108393,18.4233471173386,11.0408736564145,42.3030296144934,39.9739866333774,23.0855064543682,52.8328762374316,51.9817000798589,31.8850974618886,53.8895737061333,36.7549578574129,11.6296393518134,10.8350189858075,33.4490289153139,43.3554056477404,40.3958380792276,38.8320320335156,26.0475812804412,38.9885460110461,26.5342969359224,34.0338608749486,38.5727549323648,43.2300457663697,16.3346379602438,47.4686212677036,21.2319409916473,47.418926557981,51.4113357466861,39.2024208471744,25.3518321715788,54.5681569393403,43.1238011403539,32.4078348811268
"HDA1_input",42.9261239403912,57.9513491146759,33.3203764640771,35.6140741467356,57.1031990329362,23.7620533980418,41.506484976426,22.1009136179986,51.9245032589743,42.4660410637924,34.9594342414886,40.0289765420112,48.3540808019614,48.433640550339,37.4227465060635,24.77763028886,52.4547065509598,43.6628762112709,59.2510323634218,33.6545437440065,58.4418543860655,64.8130441773115,43.6965251224748,32.6400649666532,7.91732264837975,22.7839838968825,44.2937833112567,37.8949160881661,44.3381736541001,50.378452744124,31.8585514796929,32.9383665720306,4.16855911757447,42.8326721539187,31.9937699342521,56.9916285799101,41.4543080329518,65.5574754971214,58.853130525504,29.5146752016849
