,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
CHA4_input,31.11487944,9.358431472,16.29919511,12.45948644,23.74908301,20.35346705,8.749827515,23.68309007,17.84681006,12.47584296,7.389970744,4.297515338,25.68226676,21.01947731,9.082002859,18.38738645,12.55581776,17.81196367,18.52599172,16.32248114,27.28900513,22.76071409,11.8167202,35.21806184,28.79842471,37.63443619,25.93940223,20.07275155,29.76220074,3.395486044,32.54171474,29.93229248,17.90100117,24.15925618,34.0931516,24.41738259,7.81643087,20.4337349,16.33276698,27.17216839,23.72238592,23.08771636,11.34603039,5.595946957,9.104861518,27.07565653,26.04610873,35.59834113,22.62750317,25.71027446
CIN5_input,20.51607306,30.11907011,32.28044983,23.5654931,17.6452006,37.95466209,19.63473766,20.27193375,0.463286196,13.75754826,22.93529405,35.31197877,18.94082906,37.8714608,20.79263278,18.24543539,16.81896195,12.43611127,23.80817986,16.95972394,24.74677173,8.611716041,32.98744875,37.57873112,13.10445825,24.91091441,38.95809692,20.25043498,30.05307042,34.69687826,18.6477087,30.9510975,15.88631717,17.70858631,25.37996075,13.77048459,37.71095904,20.85644106,37.1739336,11.97925097,40.51673651,17.57122035,20.10539063,19.9378982,14.67383877,17.77831476,3.776057981,11.38545947,27.18596449,25.83697763
CRZ1_input,43.18736163,52.3895796,43.54962076,62.46599894,41.92261318,39.19748809,53.44683018,8.515369199,18.00729425,34.14667281,8.699598118,21.47868293,53.58443394,55.07869496,42.13765074,37.36954559,27.89059014,35.73688776,26.08321912,41.69065883,36.05437771,44.64037417,30.52020292,55.3175948,63.9862689,34.93253842,34.51849116,40.48397444,33.50724822,37.77390162,57.60004344,35.3137036,56.69870465,56.51009879,38.87931109,40.4921862,36.40773495,26.65926347,25.47689318,32.40026264,64.45426756,58.54292678,40.85095262,33.06592229,57.36858469,62.56213507,17.59357982,32.0181557,58.85906046,53.24952661
CUP2_input,61.52028356,53.47269863,25.39411962,66.5278263,46.52285328,48.79777443,27.51592989,37.7351314,11.99427633,43.9076418,23.99708667,52.51062758,37.02623037,45.61619369,23.05782013,43.15493891,45.69545354,17.47212841,44.73392706,34.01364194,30.14447164,41.55217683,47.97089098,47.18025268,32.77097692,22.06873345,33.13472873,46.20943386,36.31734618,30.9251031,26.88737139,34.35573707,46.61211134,68.20115377,47.25832794,28.23817883,33.85962414,49.16185218,30.15440179,26.90427989,63.41075278,46.34657927,50.01885168,42.64928396,23.63523319,36.68698167,44.34408712,63.67053091,24.45464405,40.38309359
DAL81_input,33.51263555,44.32903783,25.4161021,22.47848112,30.91940752,26.58616048,5.440398045,10.76512931,16.30977254,21.40565211,28.79862335,22.66969127,23.29219768,21.39353456,19.43440305,26.28287426,25.87280368,21.37605808,32.17491041,34.54414257,29.71294371,23.10724753,26.50894663,35.30750016,26.06657787,36.97985562,42.59435275,5.62734379,26.09163166,9.819127691,29.19204835,30.59455496,17.36388025,38.61509269,28.32861224,22.22452058,40.8692276,46.13364651,38.30716853,27.54399025,29.58801601,40.93445077,5.365864496,22.78301808,29.58037258,15.56839184,27.894641,16.16168903,31.34393705,36.97369722
FKH2_input,38.61386989,31.45715568,18.34121208,28.50653701,23.78975709,21.57313024,35.37455423,6.530223467,10.23987844,23.99105445,23.51359791,14.63846016,18.01328115,20.73217735,12.32005754,17.82443176,36.4511824,15.54113378,30.49793788,32.02851323,4.23666948,22.27840124,18.42152536,5.195096544,40.10009677,11.27702102,39.72901506,22.26580119,28.03275751,28.12210239,27.25312058,22.75765068,18.04385173,36.70737976,34.99022269,13.94118207,35.33886645,6.631546471,24.09297506,25.23915658,19.1277279,21.99564689,11.29175824,9.301642421,30.35893486,1.064257437,32.12304197,24.05224939,12.92276526,6.789316598
FLO8_input,29.12988111,43.29644069,5.151272107,19.80024074,37.93507345,27.25357071,20.88307914,30.09076621,42.65782235,24.25527943,19.14676094,31.76529559,32.49898275,41.37904935,30.47570884,26.65573604,14.56080576,4.457432374,1.678644533,28.27752339,42.91217778,22.04438361,2.403508945,1.430820072,41.81868308,25.68580128,19.60700532,20.97638707,0.211807872,16.91252008,18.47022943,31.80691158,25.03405194,15.63816848,21.20283126,31.71415436,47.86033382,25.23922568,26.09013741,28.94816173,33.12254668,37.03622545,21.55871483,9.960939885,34.66717614,19.52942603,12.85549638,31.89163967,17.99730742,31.59336698
GAL11_input,23.49267058,64.50396725,30.09442673,42.02430962,61.43845212,30.08999545,70.67856197,69.04417022,41.04292929,50.42654848,48.13921562,40.68284556,63.23319154,31.84514749,21.2643491,29.22238769,88.9863691,61.15972736,44.85525256,72.02054873,70.43842473,50.05136451,25.97361743,0.094826979,54.89048381,45.03826142,37.18197122,52.22602794,28.41424216,40.53962501,59.30279139,41.83183316,46.59074081,36.63927497,0.733852224,70.80681117,30.23636125,40.57272387,46.79586414,45.90556722,42.86160186,35.62440608,38.114399,61.90923023,30.64450274,38.327266,54.49434768,24.74235836,36.19926504,65.63581558
GAL4_input,63.57210046,87.77260632,64.23969368,55.78601802,106.8230531,123.287362,76.35755393,49.13862781,119.7642421,69.22071375,54.1838746,69.33798848,89.24352158,73.38953225,66.63844023,70.44503221,99.45287133,65.95664406,86.72259927,54.81845114,107.4611768,114.4402665,58.8289156,74.31046366,108.2719409,69.51468765,85.72426092,101.8249631,122.4346066,96.84115631,70.35604937,56.78791847,89.13949718,94.89307886,64.38085901,48.9796562,45.39170098,81.50503577,77.38484939,67.33233357,149.0966762,74.9377148,53.98688073,68.33162756,80.78325778,36.88752644,54.55367542,68.80592166,68.8273305,63.32468366
GIS1_input,31.04643732,25.95055907,41.59035496,39.59417635,25.60488653,35.86691313,24.46498871,18.20296716,32.07689353,46.14951881,47.09816629,32.43765346,57.28492983,40.18859808,35.66103201,22.6498988,23.40708252,39.93663216,32.829677,47.81670212,26.11774895,28.64297535,23.19196733,41.27728503,2.165725015,47.95784995,56.17731143,23.04251683,21.68275084,12.45608942,35.40078215,26.88866379,34.70681691,32.8563472,28.27126916,43.31114025,28.20144054,32.54604936,53.87639002,31.74699008,51.04145775,9.813185776,30.24575325,21.1467285,18.09193829,30.93128139,39.70146427,7.921287026,23.77791131,31.35032662
