,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
SNF5_input,20.67600497,22.75486751,41.76427678,25.862126,24.08973652,41.31187386,20.82147958,38.93030395,41.81399146,29.61960158,24.73462214,20.86802301,21.32070548,38.86985834,36.36132105,38.89840419,18.31566094,38.93288357,25.21206948,36.57667987,25.62322769,20.36638602,31.68417986,32.05995914,37.61595326,40.07657711,28.36513102,26.54626335,16.63382883,21.15956656,19.17158917,22.00730919,23.26713213,22.91589471,28.08507773,22.51203085,15.72486263,25.51844335,32.88696598,24.46427939,18.84280579,13.70102478,24.65899789,22.0344052,26.0584602,22.61465098,21.56465595,21.69120516,34.16084869,23.33154925,23.64213732,32.87959572,25.30755003,17.79599897,21.86918146,23.24949063,23.38432046,11.8270383,40.52656733,35.89197722,24.00435118,34.16837688,13.58556538,36.34077446,22.42169471,29.01450533,44.49112757,24.33142452,24.45535843,37.76175825,26.55501823,18.62952494,40.38556905,13.28872513,35.36809982,24.65885789,40.49033015,36.39335977,24.28082537,40.93312531,35.01970357,22.76964701,20.28571059,15.08681863,21.39549463,23.38562341,23.78694754,19.97787424,29.24326179,37.82128636,22.89301808,25.02347457,22.8295127,24.71615207,36.65491646,23.43969609,19.16372278,37.05421328,19.38951761,35.22037476
SNF6_input,24.67811492,21.30768584,11.08350005,17.61749481,16.74602396,14.98756571,13.13707957,23.30027469,15.92950748,12.59426244,14.7430732,14.61914168,14.76944039,18.95082318,16.60315385,21.96676853,12.81220097,12.00161569,15.33702065,19.35641914,18.346314,16.89407853,25.47542709,23.49330963,8.591563056,12.70012742,11.03232885,33.18364403,11.40574544,23.5562748,14.52642104,13.33310569,22.62154198,14.14747949,18.81485304,11.92837704,16.30765965,18.08835755,12.40536104,17.28521926,13.81855907,11.60419606,15.69924911,12.07611022,11.23202884,19.15256873,13.20006814,12.28185699,22.29483831,23.02690463,13.29667516,12.71468414,17.8431328,13.01095241,13.56953305,18.43829124,20.59841073,16.27736983,13.67683832,12.83393776,13.45711744,21.66248898,17.87272821,21.35815217,16.69267282,25.09813432,16.07008668,17.25769934,15.73427529,12.34070335,14.09694267,15.4771714,30.66962688,6.51388519,18.06980114,14.7691085,13.38353021,13.54992428,21.26544989,23.04105767,23.99603674,10.20248451,13.08760761,22.52134402,19.82306403,14.66658024,20.54496859,8.442822043,12.94721326,14.09841544,14.00767014,15.27138612,12.42799671,13.78893468,15.18988016,19.04815937,14.78135904,6.282692522,14.43630136,25.17873878
SPT16_input,59.37167045,104.4630723,49.07238756,71.98853708,51.88450645,105.6523522,72.26357155,65.05828367,66.79277631,95.66408777,45.49247082,66.3838199,35.67568173,120.1360695,102.7561374,96.13250478,107.0964636,73.61521749,112.6143392,81.69381145,71.76938541,54.0369625,68.4059242,108.4873442,56.72013883,94.72405644,48.49785665,129.1132089,49.61079505,69.53613221,71.82060387,61.52989055,65.18226357,65.88958015,111.3435547,58.07158279,108.4549341,33.41478855,44.94939429,90.15233569,64.75755077,59.18173949,111.9578477,38.33800645,44.55029133,54.15516375,105.9233107,90.96120984,66.07150443,63.51779378,96.67838936,64.61302986,61.72451048,91.46994641,106.4905327,57.95061207,87.59871396,64.0590302,54.33577871,64.86324696,67.02637494,110.0007844,80.70400803,100.8295965,94.74480404,109.9852122,74.03310296,63.27465953,75.06606396,57.70770287,95.1860951,116.5877924,71.48125111,46.26667986,42.63364918,66.88574649,64.77011247,65.74915278,56.96212155,107.1170219,46.01400962,49.34041786,98.70001958,60.56819255,38.97303149,67.98488458,54.9526096,51.89095424,86.10990845,68.5629138,58.64553173,73.8927598,60.74411838,70.296526,112.7058542,71.26652219,64.19203696,48.89574518,105.5712331,126.1520879
SPT21_input,61.96035666,39.90804156,42.35081442,64.25845814,58.80361335,36.00759771,47.6358352,67.81500684,40.9875724,31.42854429,65.03508846,42.45284457,40.96256306,39.54145004,39.9843767,35.82492612,42.32126321,39.16674389,82.9362117,41.67717115,48.81582405,41.07161625,35.63358273,50.06526404,35.30366289,66.73290063,41.02546362,61.31210782,61.37825363,41.20719241,30.77547315,41.92912866,65.81578164,59.14604941,64.5426169,36.19067793,60.3445706,50.45327137,40.22605279,37.84351066,37.42168069,23.40928212,67.14082836,53.67015195,35.45712448,53.18459471,67.67113807,26.23486833,54.64003313,22.99118938,34.25983233,35.89745818,42.33567093,73.38633471,57.57191333,37.62526941,56.27365655,62.84743159,64.82876471,31.6898575,66.78816167,63.37398158,34.18653819,53.87719859,60.94686058,40.88603569,64.98985583,42.88863982,63.25577242,40.49510154,38.77046155,29.61180975,48.76645047,45.76498337,60.64997156,39.93671714,40.45632473,23.93816813,39.87829998,33.81610101,39.87234777,54.39721517,40.86451073,40.29736464,43.36606787,53.69835161,33.84348167,47.39553095,58.98587945,41.05435111,40.76794639,43.68849864,30.68820597,25.96990645,70.29816878,38.6147,45.07047828,50.92234761,44.68663669,70.09545327
SPT4_input,16.38539715,17.11604471,33.01393836,28.48371786,24.31115071,16.95596608,16.65719442,28.27119223,17.82090831,15.67469305,24.32408671,17.09054132,25.88864343,16.27815848,10.40761768,23.60789019,24.38953268,29.10665222,19.11831266,18.43677098,16.7600646,28.32670283,24.2013816,14.3295308,21.02547878,28.19788729,19.61602694,15.86910677,19.78456831,18.35901752,19.72910551,23.51404613,16.61072432,10.10563207,25.26776963,25.6791659,17.55023514,14.09744128,27.91888851,29.06943031,27.66280345,28.61935086,28.88585506,12.90544764,17.24086313,19.53655636,19.24772453,10.52401469,14.28618203,16.01129933,10.23023745,28.9854198,18.46251854,16.72323038,23.52865751,22.9348786,19.05971904,13.35018355,13.93353509,23.50123664,18.91036983,26.36109064,28.39854738,34.30382749,12.15501856,13.81431071,9.785784167,22.01491109,10.27932365,18.20197156,27.90690595,18.08071536,23.0617032,32.08831631,19.49276223,24.0298468,17.95405186,18.36576974,14.54766197,12.23930009,15.54992676,12.56310375,19.0863493,17.18749376,26.74848015,15.78928756,22.69405578,27.69729601,11.26982573,16.11072009,10.80466172,27.84541515,14.84859275,11.16687437,23.80581954,17.18504478,27.20862395,17.36982622,31.02359828,19.53814921
SPT5_input,16.58347081,9.976882418,18.16176885,15.58868702,10.5070831,13.0257642,15.20351117,9.838181668,17.93335519,7.415294386,10.25205079,9.64051578,11.9737609,9.780269109,8.801766505,16.53312718,10.07486154,10.07165803,10.11764215,9.949453846,16.43129359,9.0376722,9.329494831,6.668410547,17.08460682,17.33134743,11.17077614,11.91552564,10.19823181,17.81795787,11.02344514,12.8967674,11.77280406,13.99661318,9.599825323,9.273612486,14.25703149,9.756280447,9.254651792,9.890543317,11.44459167,17.30835185,14.68640528,11.24679135,14.12811757,10.86657305,20.54753747,7.831681726,15.1060545,9.379576735,9.436270426,17.4889462,17.99646943,10.52643088,5.514895452,16.78486584,14.20683963,17.45970919,9.971292816,8.880255273,10.01935897,9.521451784,7.675235415,11.94339432,11.03410555,10.21000686,9.234873006,19.62502093,16.07162659,9.420918744,7.759140468,10.15670277,10.11888262,10.39681368,13.63672677,17.7741963,14.51779512,10.32019582,14.39219691,10.39362285,9.945400682,9.461148869,17.81647736,17.26732554,10.90118359,8.661632059,16.52317329,13.94630903,13.02859091,11.09789049,9.36140422,9.192247697,12.91924296,17.22112628,9.394246627,15.54726061,10.8731362,15.1165309,9.857948863,17.96793708
SPT6_input,20.0268079,21.3606392,31.00569581,48.08894694,20.61190689,40.46439175,19.51521189,20.55485263,24.11401348,14.03081198,40.74625787,38.73537065,23.6627033,28.70172786,23.73909319,33.73634627,34.82148652,35.92693665,38.92934184,24.96131296,20.01120675,22.52349851,23.06427683,21.53125972,15.93324642,22.24201462,13.39492916,31.64490609,14.85206786,21.27875225,40.79281798,19.48715713,18.4644665,38.16019173,32.40666962,16.44725875,23.62279764,17.02862514,18.5626459,28.03865605,17.84663548,10.70532585,18.6837972,18.03873989,27.33873824,16.5993458,32.18054887,29.36043782,11.92467013,22.73586669,24.82902931,27.49535521,27.88366588,38.53931572,31.86868643,41.95003298,31.48527528,29.26335991,19.95184665,13.53458242,38.60604688,38.77951091,30.86611664,14.58408956,19.01714023,39.90522128,19.70451269,24.26735155,37.46267777,19.08069418,27.58781661,25.3418585,22.87225972,15.31490802,24.51573286,33.61899006,22.28279489,28.49699654,36.44076306,23.96677449,23.92521876,13.50936243,31.53770072,17.99663755,33.93025522,16.83881873,19.50041873,28.05029532,33.54497977,26.47590126,36.19399271,47.33847636,18.05731736,39.09732604,23.0087039,21.58460639,35.00254836,16.99849601,15.06306851,54.54064761
SRB7_input,46.72983426,44.57614859,27.09223683,47.06791435,27.71216291,48.40458246,30.0458103,29.76113077,18.67512655,25.14695458,29.55465437,43.0972921,27.28541882,37.39040561,39.95376279,39.25250057,47.25714229,26.46149584,66.84972268,47.15636886,29.91384156,30.07941609,31.20287104,31.04872847,29.73670847,49.36746533,49.15273861,23.29811086,28.12510101,42.47142554,39.00934314,29.41601184,36.77708448,29.8168862,25.75385641,27.68215285,35.45288911,31.12295936,24.90366267,43.23940085,30.88722421,45.31844897,50.15805258,26.70635355,37.09462604,46.14403939,28.68615046,23.0982163,41.08449609,21.47210739,29.46660354,27.5865592,49.49740385,24.32923588,28.37939387,46.10088031,50.48362905,26.33156666,49.7795223,26.72240789,51.0044275,46.58109804,20.98953336,16.81580831,28.82168888,24.70323075,45.55631154,47.14558042,52.17519973,28.48275482,31.09711732,30.15000896,53.39921261,29.02552915,25.34371118,51.41265254,26.73422983,27.44458114,33.11730752,50.05643465,53.61909336,42.22801745,27.71168117,20.03905838,50.99562795,44.07835616,22.73782936,44.1821791,28.83304886,21.60353207,24.13128566,50.08193623,26.8405403,40.22663172,54.37306338,44.40330328,29.83924976,33.38186937,20.08366348,31.81953003
SSN6_input,48.64303574,34.9645047,48.96599236,39.77442567,41.94175811,35.59803779,25.27068959,22.33050406,37.61697924,34.89511027,38.96265241,50.84778265,20.31977935,34.57461717,54.76766654,37.83181108,35.92699061,47.69128719,65.90044902,24.74197616,30.29218792,43.5580371,29.40354441,32.2648138,41.35450784,52.78270674,17.31378296,37.1435836,55.77600759,29.65815862,38.09855353,31.94548448,31.94002397,33.62310788,23.44413099,56.38786079,35.41559389,23.27904925,42.00671771,38.74933583,34.52168848,28.22488693,34.04719375,32.96237366,30.4027387,28.40660151,55.27296484,54.30393907,53.18346963,35.25100443,34.17215274,36.39462262,47.81863071,53.04031837,27.01336522,36.00198162,36.9600293,36.91467282,44.74258048,36.75896043,33.83923398,27.79834236,59.68347492,35.49450744,34.0011902,35.71135483,63.62852813,44.82751867,38.18032567,32.96541438,36.82276241,57.90758966,34.3894285,55.6862765,49.0693893,58.90287928,54.33765672,43.76895355,39.88150584,28.65857828,69.33684335,38.31939966,61.33936297,25.03402178,30.78275343,34.95290263,39.71238354,25.98451297,56.67842351,54.03338499,44.39307993,37.31985107,41.74849084,59.57789555,55.03540142,49.00637877,50.15746934,34.65661448,38.31656452,70.7159394
SUM1_input,31.6239332,51.67129444,61.35804241,37.68230636,61.29110561,39.06561767,46.7503393,35.03286003,35.35641613,32.15059658,57.61936983,34.48643427,34.332934,56.47633135,23.70090372,52.56076387,35.29045398,55.24116915,33.58809274,22.05809596,40.37264064,58.48077472,60.39520493,31.82111851,48.01793498,35.86374596,26.01992561,39.12052123,52.92487522,29.92428319,45.83864422,42.88446455,34.4084461,32.46584265,30.51772917,51.87052989,44.71414864,33.92679712,25.90339463,58.26652456,30.38542693,28.93805327,50.23866897,28.11649485,56.8796639,53.57685667,63.93444946,31.44668801,35.28757388,45.5359752,35.43099432,31.59416725,58.84869132,47.43825033,41.1883761,58.40506527,59.07628574,61.18135489,56.21761558,25.67855708,35.7782435,32.91007228,34.76968379,60.66341577,52.69527499,35.77841146,36.11234509,63.17060968,44.16336166,26.49088362,40.20578431,28.81679454,48.91337993,22.66113368,21.90438785,33.69063284,38.52886382,36.35640917,65.23156441,33.60521666,38.44790731,55.32264029,62.15972348,38.6411885,35.54080393,45.1290402,36.30646641,33.17327453,31.69156884,54.83227182,30.6935584,57.77597214,61.51264016,38.28211154,33.07425448,28.77749239,35.81994842,50.2412515,56.83077035,39.23811981
SWI3_input,31.82140831,26.62636231,35.72723015,22.33943591,17.48907678,35.33192138,26.98373351,29.8024969,30.81811402,30.78258768,36.14234168,23.52558367,37.48055207,42.63854189,21.45162193,26.06086118,21.20868796,14.18263118,20.70233685,25.1828911,21.18228145,19.12007752,18.59639457,19.03522437,26.77559109,20.98531962,19.5926051,44.89762108,18.22019846,13.56545551,23.23262668,19.2214279,31.20980394,19.9804327,18.73185717,17.48933485,25.4814245,17.67271706,12.2823741,40.42701049,14.37272951,18.68456673,37.02470702,29.639228,27.46747946,18.07579659,17.79848275,20.81722075,25.76827492,19.41074861,35.43899331,19.44639344,32.05809228,29.74893695,32.24442749,23.60366943,35.39743057,11.80651133,25.77554873,21.89682545,21.86864262,34.87496549,29.81417297,36.89411745,24.37434749,35.51083513,21.58177934,33.23660864,20.81931408,31.12781649,42.4085138,39.18240319,56.064022,18.49684172,24.6412709,20.59278277,19.42340547,23.74996526,35.42641818,29.88665113,19.28748867,12.93083455,31.67100813,19.35247848,24.12127111,19.32710503,14.78676866,17.88264278,18.60041708,23.48025018,18.97212554,24.14170079,25.12199852,33.07683797,23.29210849,22.66010975,20.99317071,16.89038655,28.60401648,24.26345481
