"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"SPT6_input",0.00467517623210811,0.00150908865153665,0.00420861942526348,0.0038336708973389,0.00143171134453741,0.00307564194460057,0.00420660356124895,0.0038054740450888,0.00220394568503394,0.000240058230588642
"SRB7_input",0.00139986604464046,0.00516297551638921,0.00354585402995802,0.00284923583948475,0.00520206882114615,0.00330683442758211,0.00378102251541342,0.000204566002374856,0.00110295045487991,0.00350444591541898
"SSN6_input",0.00260924875366707,0.00377703322577127,0.006646957057099,0.00691687067738506,0.00547183857205504,0.0052458299842415,0.00136405472054407,0.00121350269612684,0.00583966544274206,0.00353305489940995
"SUM1_input",0.00589904693096759,0.00113177037691428,0.00432188390093662,0.00659702846497721,0.005410157321399,0.00625747867014341,0.00655900742831563,0.00699579129518023,0.00459344267217417,0.00429375589109871
"SWI3_input",0.00465324896571693,0.00405403902180167,0.00378952734322432,0.00208739296309729,0.00238629428149707,0.0036908424792745,0.000952365061950108,0.0020868107102518,0.00332500945374074,0.000657368392654893
"TAF90_input",0.00343636501937793,0.00131619127617749,0.00139263970244868,0.00218602362021404,0.00271099993886572,0.00248551759036392,0.00327845196611251,0.00134225290087637,0.00352761338129036,0.000652524095489295
"THI2_input",0.00302013408901752,0.0100798894883006,0.00717241508608386,0.00961172744455758,0.00634891280866278,0.00942995691036701,0.0108869264382836,0.00646559081645378,0.00743000142873474,0.00516909437310977
"TUP1_input",0.0224897611673263,0.0178002024267133,0.011411470351743,0.0129334206605047,0.0106811797160988,0.0146100629610551,0.00604866177785075,0.0113808920353694,0.0170312757227868,0.0109996313101895
"UGA3_input",0.0031983039352263,0.00192393143299397,0.00069878679247422,0.00317590283451816,0.000203509348252216,0.000890050134129328,0.00121414871125195,0.0018552931357788,0.00136465638081286,0.00110377908889001
"UME6_input",0.0167257094816721,0.00672287441610199,0.0204888843730184,0.0271050715203321,0.0275879860473937,0.0218330483488783,0.0279713094941897,0.0062640607491724,0.0251724514166659,0.0163404167386087
"XBP1_input",0.00473156182777972,0.00608679994775518,0.00332733541876978,0.00310099064704024,0.00133672642376765,0.00434939169353042,0.00333178450278299,0.00619446091565036,0.00379537088698096,0.0060367031471468
"YAP6_input",0.00170389766238956,0.00257682996088688,0.00382059915227672,0.00290205355423405,0.000953566063462515,0.00285452456729473,0.00135156944017717,0.00250004410302511,0.000947724204020217,0.00286228569855592
"ARG80_ARG81_input",0.000654035205989191,0.00298819214272233,0.00346272267512682,0.00416025415582253,0.00500991859169966,0.00436558523606538,0.00378280574345136,0.0056316719623921,0.00872200171824347,0.00275727585309141
"DAL81_DAL82_input",0.00679735777015408,0.00680779286940012,0.00495826537883187,0.00478993965612242,0.00612391769665002,0.00730820207882983,0.00425049697746394,0.00684560191999303,0.00460085576130762,0.0029552271350965
"GCR1_GCR2_input",0.00868295971770319,0.00639915942114313,0.00831027451518625,0.00292967630747328,0.00777900521062482,0.00541830427421869,0.00711575292318557,0.00434052109679744,2.41635854980583e-05,0.00515167105501899
