"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"CHA4_input",15.7217157577507,13.1857733703262,23.5099594371585,30.0034929831283,23.3543435210826,27.3013318952142,17.4248596601841,23.4069363378516,24.9017530701774,14.1425531183553,26.5503654835331,14.7513686171501,21.2546138894876,27.8325453364203,16.0515048026819,10.6803637030581,14.8466773317727,17.659294933819,16.1753324308437,16.3612433223192,15.7960424925305,20.1426587427066,13.3482297348969,15.3445871755928,9.17288645197872
"CIN5_input",28.8824601306174,18.4152176698549,17.9158751150233,23.0435637624308,16.5094570702168,29.1572074958496,9.13689285925376,24.1787308458883,18.2064146284939,26.9060659733659,17.9891599056839,8.28087037474479,15.7578552988605,25.1028346799702,14.2904933511137,17.9419087584288,17.6158433288491,27.6604442165156,35.6658297762416,27.4746411849982,11.8163720943824,10.7911981969163,20.7035161742432,16.2807634229703,17.3129885390938
"CRZ1_input",30.8272894258888,33.4838532204481,36.2971374795323,32.1426451385557,33.2521684335759,26.6774719076129,37.3355216866481,57.8535336399214,44.7107073414634,42.7982519031957,30.7317521219894,34.7015090526067,32.9311219632584,47.3959490827865,32.1497140084905,30.636874848907,49.9909344289462,33.339270248927,56.4242534816726,25.0140633213719,33.588701808449,55.081159338622,37.7333651900909,47.7789024279032,36.7634763234627
"CUP2_input",39.675858095473,48.0722400382488,38.3589569665029,33.0842618450663,37.0196307976842,49.9504095671976,38.9231757483603,23.7763348929577,35.0852437614523,49.7402810005634,37.1105367035715,39.3184473978237,40.7115925319765,48.4711997940464,52.376386257589,38.2373639599679,38.7675857635366,29.895551850581,34.1307838586783,43.411719137389,23.5419949687505,57.5744561230142,57.3396236069969,30.5607815844006,42.8526716201336
"DAL81_input",21.0537836720517,27.7852249024739,19.2935058803466,24.7470377103066,26.7111467980458,19.0473858668,13.2814187941896,28.4150365146705,18.4608576263659,15.7205580380869,30.3613962786016,31.0341894697801,15.7339237463534,24.9657043927594,13.7667059414036,13.8649645741764,23.1427239088484,31.1562429385172,30.2572603986926,27.6146827405952,10.7691767545717,18.9829027536211,21.9557863864424,18.5940986794388,10.4007052923905
"FKH2_input",13.2159598347247,16.4073275220729,16.7356330315834,16.9722100898387,17.5965966842295,19.2050056011163,15.5504529193464,22.5946617265231,30.0652570788715,17.0058815543703,30.5325821269337,26.6902063900454,25.5590230825852,16.8031487759234,10.9807169232874,11.6441060994952,14.4968696701338,24.8718606930072,29.6525954853155,12.259912187198,22.4195748624593,25.6154117088313,23.2208182176181,16.7945097657465,17.8905261690593
"FLO8_input",41.0272748906754,23.5304806688661,37.6242627481128,24.2678582555514,27.940710220268,23.6751125107683,42.297622942597,37.1455531090699,20.6209837376525,29.4845329177932,33.4078627141857,37.9920128993484,31.3127262823169,30.9310978203838,37.5048416208785,15.1974799963888,25.2052093368422,34.3687244480214,39.6316073960226,27.6995738312322,21.17103877371,38.323467837306,24.6581680223353,37.2715427678167,24.0665955173962
"GAL11_input",62.7419031837172,45.7321249660502,60.0189603077994,49.4059223893007,58.3532823106147,42.9039137412065,75.8071765768457,66.0630223857672,71.1927446520766,34.5553843261536,38.4260026091238,46.4751836886007,61.6361125901629,78.378956171494,72.0856759382034,38.0217734317579,45.6870060413385,62.249204074406,80.6076559038527,57.8167156156012,38.2526104205939,30.4142615543261,64.6281880289033,26.035504833549,24.3435211002899
"GAL4_input",125.438901768593,74.1346094690846,75.9670789725057,97.67424874258,108.321859858919,85.6005311732315,125.114986451452,111.808765378619,77.8162394173297,101.128783035789,64.0705746037936,129.146733751059,130.541024938147,94.7086100483055,77.4614687337067,64.7112612370142,59.3994428595228,72.2254805430818,121.989841308926,69.2344349495924,94.2796309109776,64.0397934465851,128.559490996712,68.8534933000516,68.2834193979374
"GIS1_input",26.8485172658181,37.6274591461252,23.2497314029935,34.6992819159159,21.0630418244725,47.5020599363388,26.4095507312823,25.827607471158,29.9368564137411,24.5055284367205,47.3235973097185,22.1305041987983,40.5177126048595,45.4956651441149,47.2389202191714,18.6732766148299,43.1523302009918,38.0493696113894,29.202697787946,19.4794634028574,24.343752810029,23.617172406316,26.7672322280428,25.4120145580523,20.3711621282999
"GLN3_input",96.7238533392687,96.541577027772,98.0270401256733,111.664444239781,78.9880824249125,97.0443685474938,106.58579715263,80.7671386210292,165.308388619689,137.913066105864,156.31306683089,104.584531288567,150.546324757514,187.467097303294,173.33228475293,96.0058722537531,102.172085128854,151.482543521759,167.515031881742,83.0070080392798,70.896544460955,155.412324741089,106.9777715736,152.556511700651,150.445211266374
"HAL9_input",25.3181955265543,15.9653687553969,25.0157393086728,22.2984709018897,39.5798246761121,16.1497568954391,41.2830158825767,39.7084273003699,41.4196270592827,17.4502817557608,36.8257196839416,42.0558609098424,16.8693052647474,14.9250987099487,24.2159962286011,15.5975793026772,25.1674712337163,14.2190230131075,21.9720395612638,26.7625333671086,40.3681261246973,34.9988826154937,39.3713942823307,25.7807885011426,16.869609663615
"HAP1_input",115.5513765396,114.7128900102,98.7926228330723,90.114236848038,92.1492623580867,91.5922574489287,47.1517413888911,94.5969188004191,119.608818629188,90.6893651109384,140.232866826807,66.1203320458222,67.1453329558852,45.3373712855756,102.73624657198,135.9852439675,139.73238525463,140.593964684839,97.9451176930279,117.51504108974,83.949199254825,63.1194966350326,121.250041529612,83.2203890282141,90.3985841267508
"HAP2_input",44.6587084008604,28.4914206496453,33.7506901097298,30.0819949552081,49.5642587554051,31.8580126325751,23.0506118870645,34.0778463015783,46.3664632442834,30.2049636659033,30.6932348794861,48.4218197786408,34.2215652331258,53.2014394020363,27.5955250625195,33.789306526621,30.4874850694072,33.6840625830056,33.566497152551,46.7185093812789,45.051278437976,31.3175602475273,25.8749733953107,43.7206565730534,35.4823037532738
"HDA1_input",35.4655015275587,55.9572572834012,48.9154423565577,56.0527366469623,31.6646804143202,56.9601588672216,48.9649976560947,34.8584818201422,54.3639790782334,34.1908587190289,47.132776664035,54.2341290597347,52.8643038876719,49.1725526436228,33.0205237258035,37.6227335004514,32.7263295719871,32.2754842505777,65.1262909661924,41.9985949776221,19.1230672398214,37.5888866750325,35.0715583879532,35.2708884846703,43.6395147815324
"IME4_input",24.1083307355923,27.1078851559853,30.2996858256959,21.5955569321759,18.35714268005,14.039858274276,15.0200936405237,20.5528650427252,24.2859739638379,16.1323261494827,32.750385210444,14.8050311808064,14.5299168868204,16.5175619613393,22.1934668817697,29.7352776620378,11.9841899054093,16.2568787545806,20.1451047962141,14.7260866063079,28.6752000250048,15.2126176018146,15.7787133800464,28.7870431311427,25.7526348014065
"INO4_input",18.3806367121164,28.9735920729247,17.3653527056815,15.8995966980344,13.8638553319769,28.0625873171836,17.6486667126802,18.5142560720663,29.0448500768544,17.5045651991944,33.3558575837217,17.4653297536458,16.9957677169031,27.4372048389143,29.1193158560131,29.7888994091367,12.3318846043263,26.5481114382225,16.4979260217964,31.9397277782683,12.813990901016,25.8012093575026,27.6840553122405,16.2719001109217,27.3121698008314
"IXR1_input",42.3454454773975,25.5787924710398,42.2183422997564,25.7978839288804,24.6336569206304,34.9146138075779,25.8456206545874,42.8272276308352,33.7819630020125,25.2637928216517,43.9081961980751,43.9733482741376,24.8638865862959,37.4385583190612,36.5592944808789,21.1017248644712,37.4121512234692,45.1226961561449,44.4819708175893,20.6101527916068,24.6869018027989,42.4917493626093,22.9177007656644,26.1323858583747,36.1057950996048
"LEU3_input",81.5992769571063,51.0280514853269,66.5841885922459,52.9338436976364,51.5677524335205,37.7983633352604,42.6549970249531,49.3281757719974,51.1770656416627,35.120273108841,48.0005263398754,26.5563772787681,49.0819667627937,71.1471790872808,84.2634229007406,61.7025299255858,51.0626950450752,51.7029078448856,55.36057878846,82.7725768166443,79.834352713905,52.1889379078132,24.7079386889129,56.8187994658541,78.5230794082421
