,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
GEF1,56.00923338,27.63285677,25.78716126,32.61862854,34.93766078,26.04262047,26.05297401,22.58846377,43.12838796,45.42337131,33.29031324,33.47595513,76.42088709,40.12770398,26.36036855,24.39697004,15.76829603,61.48889217,56.58019939,35.69123236,23.82685875,72.32996459,62.03803542,78.45458804,43.95000712,36.6909787,44.2504369,46.77734505,33.41326546,82.33774596,40.73877072,37.08606749,26.58001267,24.6744841,38.54828521,71.26408332,61.95892791,95.33407829,42.57472343,61.93031134,49.72506797,45.9710874,45.30209169,30.98431145,41.70782607,23.48544528,43.61410555,55.6160529,12.80506575,40.02590437,30.2458088,12.16038024,32.94256613,28.10473691,33.79879754,81.34566567,38.59500004,34.18645361,35.9943521,33.15531494
OLE1,29.05880517,26.09853912,62.98273691,53.69430639,28.47927533,31.17347745,44.29484102,33.27939436,12.13441279,91.1089755,17.9086571,38.06002422,47.52205704,23.3308021,45.81840467,24.19854231,11.27234159,104.8005147,49.10284712,46.69942106,33.80838982,16.29637272,88.08092084,19.47364518,58.91960617,36.29374465,43.56706825,62.41046363,73.87004911,57.4598921,93.71113807,17.71514618,53.17405173,12.12639616,51.86759454,79.74360663,18.04567241,84.98341288,44.6082668,49.12933399,54.72338263,81.85790331,41.38108729,47.88108941,39.98678031,17.79497949,51.93829701,71.61603899,36.74334638,21.89363315,23.01072368,35.95578219,42.96051959,58.09524647,46.46005241,37.28408773,55.15527121,17.82345501,74.91792841,87.25604988
CIT1,108.4764594,85.37470173,41.40989978,32.14398859,56.73353727,48.05105309,43.72839374,46.89881912,59.2849134,21.4700394,44.41891228,40.94354372,26.10865838,22.27037288,62.0801828,43.08610941,62.74922489,53.32601108,59.22590868,34.06459284,56.53311935,34.37788937,35.32987197,60.86065353,36.38663569,23.78590053,31.68467017,89.89451781,35.03859772,57.14443618,65.63831531,60.51887038,51.89707406,98.75711911,40.95773249,32.35501323,17.22773675,82.80713402,120.8549342,64.58596971,27.29906615,54.74871347,71.54276209,57.29340759,37.99129912,12.3898328,51.00018035,33.09457744,52.21894564,74.20722445,93.18926401,21.09021736,52.92448306,62.30324642,32.72384882,52.68511505,49.22143192,56.92988785,32.11511901,83.06999382
CIT2,18.98762696,80.47733622,50.95083416,32.59768165,20.70342435,36.89410244,68.87368025,31.47600499,49.36921734,45.6842176,54.7245064,35.22196948,43.84703152,36.82159216,58.75904904,43.51635812,43.0108787,62.99947348,23.25042595,37.93058436,17.35265064,34.16913302,80.20875194,76.43992675,47.01283696,25.41140559,58.60739319,56.28353264,24.79497792,32.00514135,44.14970855,17.26657262,59.10588095,60.45526219,58.48448048,67.12174136,29.15124881,91.30071524,86.26835375,44.67940555,49.18546582,46.33829649,14.14915409,44.94026135,59.69127861,18.01783474,53.86083852,60.64702627,36.74766794,43.95501517,63.79255589,31.17929125,37.62549229,29.17692773,46.950906,52.55491774,57.15196931,81.62907756,62.17151101,114.5310182
IDH2,106.0419982,46.30250836,28.11778594,35.02030894,88.33438636,51.83003615,35.99387463,17.82027517,51.82967186,34.46305306,39.67137671,40.73260633,44.65830908,48.37317502,30.93056064,59.98918581,23.65221644,27.38243043,31.52213756,8.913391341,74.31799522,41.5548214,61.19711447,19.86193532,24.06912044,33.38704738,44.56333749,15.59498224,38.28832865,45.27913219,59.93732525,41.10114162,64.24368578,54.88785415,37.27312135,38.3183833,22.6701538,14.92276994,30.34572229,11.96375787,27.13287737,62.95381631,36.51853898,37.8235038,51.12141547,40.83823808,40.68532073,48.05247457,18.43739449,45.24629623,51.69625852,20.20530611,52.19158067,62.61128192,38.54792287,47.61319844,52.73771985,31.7337119,26.07899185,104.6828853
BAR1,17.37053689,29.81254621,15.77580924,11.76843038,29.32264353,25.21043224,25.51143674,25.9559581,12.14359836,35.11605018,13.21954771,24.37193492,18.83280524,24.25428379,21.2426026,19.65560091,7.150562521,11.35873358,36.04555676,19.19644719,22.65120585,33.87571761,34.13585957,9.469711889,25.2006946,45.47869759,22.06479398,25.67966636,37.31580857,49.17246263,58.60252093,15.64728907,19.99637086,38.36935436,38.87666936,10.88311289,10.38291272,21.73858715,37.15039507,41.21894892,19.36329923,34.7018816,12.75006841,20.64861416,31.45391927,23.29660673,30.34463755,54.14087798,42.25783384,20.4700996,19.97973043,8.728618359,22.01122832,18.94026103,21.42630096,22.1268661,9.882546332,45.96334224,37.37980251,15.36606126
CYS3,36.68115801,8.299958836,30.18308579,33.95023869,37.60756481,45.06650659,30.63532871,31.52874972,33.95668036,32.12475369,36.20825997,39.92740228,21.43469101,31.62697676,32.48659543,23.13722971,40.90786109,58.94831199,20.08531474,56.58240888,63.3813899,41.42367416,66.10303002,35.0655541,35.20128542,47.46983262,21.63025279,46.64469322,13.75007224,32.94234038,73.92948295,52.67652405,37.41208533,41.75716702,8.946896339,29.99313083,35.75833027,55.3282607,26.84836066,30.87933572,29.82840638,24.70594664,8.071412906,31.48226224,62.60414898,28.90291188,53.35779538,42.31955537,73.08355467,11.83729807,36.48339331,20.87713307,50.86904459,60.93236295,65.54934452,23.66744892,19.06350924,55.50958955,58.84309541,69.38330752
CLN1,22.45302223,23.02658936,10.00562588,28.86474764,32.49427844,23.04691383,10.09904638,15.50323798,33.15352356,14.90649377,21.65110153,29.3192214,26.21370944,36.05643653,30.56972778,24.44606824,13.93903745,16.37148613,26.74850293,48.14619613,15.67364214,33.18152546,39.53757908,25.12118972,31.52174209,34.08487262,36.35324237,22.25954393,8.473878525,39.49841376,36.90749505,39.4034507,28.86079314,9.390830943,13.35694561,39.45436149,30.75931423,48.58861226,24.5344559,9.336044279,27.30601165,12.02540244,15.18206933,33.35170829,25.70513443,33.53371678,11.28105668,20.94230295,45.67443107,33.15743339,37.22477812,47.11818091,10.71678046,23.07382972,31.11620712,12.42806681,18.16756299,13.40460309,50.58835566,19.71841649
CLN3,34.70090326,37.46352725,37.89289942,38.31911434,76.04930841,27.39162409,45.23109286,11.60741342,14.49744443,33.74742895,47.86807586,11.33720929,18.95954555,31.53392062,38.90624921,29.78508125,16.91627939,8.924565412,19.50773221,53.8687637,13.87449244,46.91682444,11.59873046,27.42678346,27.97612975,38.57425195,54.35031265,10.09474266,36.63968211,17.08822606,13.54429837,52.49356745,7.511471529,33.59817021,18.72784865,12.64302275,9.35359088,17.74240144,31.65309593,21.70524712,12.48090453,25.03316186,16.20784416,38.93206783,24.13594695,24.4673925,42.04796082,35.25389586,36.2310188,8.08044822,38.26414438,35.04204356,24.96855177,53.61157076,32.33893869,25.47967926,33.37693197,43.44688981,29.19884206,36.53020969
HTA1,25.79176211,15.71121578,40.6791739,30.11194975,44.53483133,45.42465278,34.58195776,34.01015028,30.04670921,20.05174975,52.43595623,68.26508124,46.52184112,27.91169927,25.57903215,30.90778736,32.72081572,33.91955202,13.61277259,36.57570161,12.3521704,38.85045163,26.54752043,41.76353851,15.2953869,11.91515124,14.80961092,25.27729336,28.22611002,24.21129986,42.96641578,46.5584385,13.52799507,51.09538252,27.22112719,34.74274753,23.27385276,32.91188836,19.37473983,30.43807734,47.0030536,20.26989509,16.42491299,41.15380766,41.86734722,32.24200906,10.80065975,41.65248514,17.75816248,20.62549991,22.13819767,36.14404925,49.68059411,46.32976627,16.81906425,48.39736765,45.05698589,13.38341807,10.68337654,81.88768004
