,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
CTT1,0.5659993,0.261726281,0.621756824,0.291163438,0.194805023,0.517157098,0.425180361,0.542248862,0.166751595,0.523495474,0.276314976,0.679500509,0.459056875,0.461457111,0.256867052,0.49325102,0.240043969,0.520148661,0.258429934,0.635856876,0.226335002,0.45072945,0.499261686,0.499623639,0.484628644,0.422394326,0.15937287,0.963925943,0.389811806,0.586562685,0.693269293,0.508181518,0.17338249,0.451024914,0.253924677,0.29465385,0.702037912,0.405723536,0.601182639,0.564157052,0.123752964,0.157258026,0.713545172,0.221275408,0.546041902,0.303746313,0.562115172,0.452067435,0.362691772,0.588761018,0.374942078,0.423655034,0.256812038,0.477912961,0.197472373,0.785447575,0.529880353,0.185510768,0.58269538,0.890834587
CYB2,0.384007057,0.330538051,0.358885564,0.688572703,0.220285984,0.250964034,0.41390803,0.378630135,0.351706757,0.247909733,0.281812744,0.513382626,0.49284456,0.439220203,0.410914328,0.389248561,0.233584351,0.257654794,0.481520906,0.518552409,0.299011686,0.31258443,0.094584653,0.643196122,0.475535043,0.530454393,0.554203845,0.450196516,0.298637923,0.326953227,0.238155041,0.177151064,0.492916425,0.405426952,0.309453647,0.305544187,0.437367091,0.37455477,0.334714078,0.464788631,0.587065223,0.604201189,0.285025166,0.187338979,0.409915676,0.511689949,0.225163203,0.555956254,0.52747959,0.573629231,0.178229401,0.503105022,0.201351793,0.458190522,0.517317867,0.332433816,0.64060664,0.366231294,0.301076329,0.559017833
CYC7,0.088479234,0.351165932,0.174507262,0.316911084,0.248843486,0.297719689,0.155815302,0.240068477,0.178501623,0.36700359,0.322022227,0.158686613,0.387949744,0.225080798,0.289474183,0.317304814,0.311875419,0.163720556,0.37632439,0.263526689,0.256581175,0.164131217,0.269743673,0.176699166,0.298172472,0.320220587,0.160147643,0.112279357,0.295929665,0.362550527,0.08311032,0.164241394,0.370722997,0.296681582,0.284929552,0.12425136,0.091547704,0.231480691,0.370386821,0.247612072,0.092123788,0.178463464,0.38828425,0.16792997,0.27215401,0.299044553,0.357046463,0.211166477,0.096158005,0.21362102,0.305197172,0.123376944,0.162616618,0.247733082,0.19668386,0.20121553,0.128062412,0.2733625,0.203447992,0.124328233
ERG11,0.172555673,0.413566315,0.460865026,0.76807939,0.410771627,0.66382791,0.509620793,0.493778754,0.26210763,0.408818625,0.59073725,0.499787099,0.519819171,0.41136413,0.285741343,0.195721771,0.16600085,0.316332861,0.666286696,0.292150254,0.450562407,0.515616433,0.315534575,0.574702564,0.602676517,0.305785102,0.710660434,0.660844223,0.249107251,0.66048418,0.385590826,0.193337372,0.201150929,0.460202833,0.504703995,0.494440753,0.268510733,0.181860069,0.375927975,0.441435146,0.130302716,0.612530019,0.576698109,0.440985505,0.629277151,0.535997431,0.682512887,0.581740965,0.333487598,0.485113883,0.31443378,0.431468641,0.307344288,0.534836173,0.353609253,0.52614227,0.296298853,0.453824295,0.277009247,0.588406166
HEM13,0.572596292,0.402329017,0.371693251,0.610379959,0.446263941,0.559009311,0.442420704,0.175904103,0.330336016,0.626146872,0.706177083,0.556779346,0.179497859,0.523109873,0.28030161,0.25709142,0.510751502,0.777744614,0.480498108,0.730056904,0.120392087,0.623611384,0.441922761,0.284744045,0.461883145,0.172600676,0.569815918,0.190949981,0.610609248,0.178730298,0.356012093,0.447311339,0.547587166,0.272526334,0.543337037,0.234023278,0.227171102,0.155784677,0.214309928,0.229076293,0.272653984,0.594011337,0.570952209,0.471447871,0.295173148,0.428610968,0.227087005,0.488032023,0.284739732,0.365793574,0.268795196,0.398995691,0.624256753,0.442535425,0.448823583,0.519430419,0.847338212,0.530181832,0.336351483,0.223801054
HMG1,0.482878016,0.52178307,0.72801621,0.437252165,0.134504203,0.380286194,0.522680413,0.461901598,0.275674511,0.158940326,0.298068261,0.383529268,0.274915721,0.367008153,0.149658165,0.552791595,0.429348747,0.352375476,0.626006595,0.422157645,0.627459046,0.492473308,0.182748142,0.64195806,0.316051264,0.156541865,0.596668789,0.391324638,0.426001405,0.465594298,0.402720535,0.193682232,0.541092068,0.38180255,0.155344285,0.428585922,0.517195036,0.433961297,0.382304377,0.608204744,0.287496023,0.242895327,0.535881453,0.52557662,0.287393686,0.356033553,0.209228063,0.441424231,0.259242795,0.766359853,0.424321408,0.523187846,0.364279074,0.526225526,0.244291661,0.180188575,0.598831239,0.48397646,0.465718479,0.4424777
HYP2,0.422492516,0.335876117,0.541753148,0.5860313,0.197700668,0.249369076,0.524507542,0.394660739,0.514942229,0.630920067,0.345259269,0.303076682,0.595728679,0.171670578,0.159359413,0.293134753,0.278920251,0.243373434,0.356066447,0.617795959,0.406697156,0.460652271,0.374286936,0.395567942,0.539925794,0.467506299,0.254393228,0.488731596,0.415895655,0.155478022,0.387334401,0.427280532,0.445364771,0.329352356,0.542971351,0.622964156,0.480642579,0.214871081,0.366773484,0.546885115,0.522846412,0.2608192,0.382436918,0.39724006,0.373713168,0.13415051,0.191857081,0.58489826,0.161882267,0.438281445,0.358807673,0.385740764,0.286395082,0.62155136,0.520727162,0.514210803,0.748159558,0.470947095,0.618365821,0.509997962
QCR2,0.325194144,0.53190104,0.392621631,0.811070216,0.491945208,0.542553148,0.684433303,0.367301166,0.577192086,0.553783181,0.431066968,0.718589339,0.443978776,0.339371946,0.121479941,0.371400321,0.554938814,0.593170003,0.62846645,0.205543908,0.662049231,0.574118745,0.69163278,0.527168555,0.287709241,0.47873187,0.53961731,0.480988019,0.421693652,0.660499075,0.536574188,0.509714527,0.427783636,0.584527447,0.588061322,0.58809438,0.266286866,0.451252122,0.598607655,0.554898423,0.728400109,0.567581976,0.489496365,0.501292352,0.610109705,0.267902573,0.369095354,0.376669435,0.325831349,0.240310057,0.370347668,0.733412681,0.467649646,0.154335166,0.865417062,0.68172935,0.50889129,0.458279933,0.553483994,0.621485787
SOD2,0.677138798,0.396147133,0.533656437,0.690630182,0.692527994,0.507211611,0.741619533,0.295584424,0.565635177,0.605812332,0.645235166,0.335442958,0.473031222,0.379453787,0.392201267,0.412910941,0.397753196,0.592596622,0.831626109,0.82918996,0.552387677,0.534936186,0.535651183,0.30544695,0.457777154,0.56332545,0.651137043,0.463500413,0.272642813,0.403444161,0.49311264,0.486200172,0.599964561,0.911684407,0.30792364,0.331792115,0.465914897,0.578015231,0.526726167,0.604311602,0.250191494,0.195178557,0.719156897,0.548896923,0.564752147,0.610337668,0.356643339,0.647222621,0.425838906,0.751780959,0.333279693,0.445409567,0.761785936,0.32743396,0.225883004,0.574507876,0.213132143,0.164232063,0.456369875,0.619054037
AAC1,0.338561373,0.284824985,0.285073503,0.591955338,0.772889657,0.320467765,0.446846815,0.29489339,0.938774291,0.580338228,0.667101046,0.493911468,0.913770199,0.633835035,0.370094396,0.673027278,0.524800321,0.553193049,0.748214039,0.510340108,0.542981897,0.25193273,0.27226105,0.65476875,0.506133499,0.646065801,0.583502636,0.36185755,0.34859545,0.599083901,0.62453097,0.174464168,0.61327497,0.143817402,0.701016602,0.579689479,0.546945582,0.476900131,0.262787352,0.388161192,0.244176333,0.445853279,0.377051214,0.568334844,0.483050381,0.577759869,0.810021753,0.199562155,0.475697592,0.534901996,0.622753982,0.633577451,0.487591277,0.527066897,0.73853298,0.5765346,0.454708461,0.308190601,0.748225212,0.771028188
