"sample","gene","early2cell","mid2cell","late2cell","4cell","8cell","16cell","earlyblast","midblast","lateblast"
"prcntl_0.5","Fbxw14",0.659783449597778,0.506587211623459,0.427034082969505,0.100903221987447,-0.111195690210962,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"prcntl_0.5","Mrpl33",0.0855216175524107,0.259242283577561,0.362434362459141,0.504659139858701,0.620765349896561,0.698687224863704,0.634970703697114,0.575513485824412,0.646331269391605
"prcntl_0.5","Hint1",-0.127567254420993,0.466091816089819,0.435136853252821,0.493379034966304,0.590385306990605,0.603774526104887,0.595019143950256,0.589886001478465,0.654823129929688
"prcntl_0.5","Mrpl22",-0.104697425937597,0.219407924545534,0.460167832134267,0.442288231212606,0.689214317607779,0.621546021179645,0.585729812171568,0.528946198430654,0.563306005761009
"prcntl_0.5","Atp6v1g1",0.504873999988594,0.364134016546341,0.241286059256948,0.464658536497165,0.489867239187691,0.520141884003667,0.647320335129434,0.623810223360143,0.55743825483459
"prcntl_0.5","Gsto1",-0.921034037197618,0.182880606246209,-0.137765548793865,-0.921034037197618,0.610744744209405,0.497674968981755,0.586436194980734,0.591730717725537,0.583931776627664
"prcntl_0.5","Pramel6",-0.921034037197618,0.570202453653469,0.605274805317956,0.529254802219556,0.696493279512241,0.662117157354307,0.467142452818432,0.517939720375321,0.436242689895846
"prcntl_0.5","Psmc1",0.388150861161451,0.289805919714447,0.505063279002054,0.40448301462041,0.605001472793523,0.535683207645085,0.673353999953696,0.594579477658653,0.602455046484539
"prcntl_0.5","Tpm4",-0.921034037197618,-0.921034037197618,0.171886917644488,0.00230110398415161,0.463573111019978,0.350988048386988,0.626851229998421,0.636902519642897,0.595422918754356
"prcntl_0.5","Tomm20",-0.921034037197618,0.626229178375344,0.658131691269725,0.624173177177364,0.652954874357161,0.686922990964402,0.509991467171532,0.361212102161019,0.520355723693536
"prcntl_0.5","Cks1b",0.659744678972296,0.639787633793562,0.573248041338339,0.47989497055967,0.494374873280114,0.590706324597581,0.643001715998876,0.513467013370832,0.581665281242909
"prcntl_0.5","Slc25a3",0.206250325853122,0.300861107882624,0.477486602300106,0.57289449303652,0.588569531387262,0.53225303057379,0.508345671060588,0.592788597676351,0.618482433139683
"prcntl_0.5","Ly6a",-0.0333744797010273,0.391567254072937,0.415720655445765,0.469889208803772,0.440274733175691,-0.921034037197618,0.563618969775781,0.448382325726747,-0.15689831445781
"prcntl_0.5","Exosc7",0.321316591217529,0.331997882910362,0.384376864490626,0.280672860159233,0.593111834284213,0.592863797729716,0.59644775429444,0.515222938054245,0.586894534602774
"prcntl_0.5","Hdgf",0.410958907830897,0.542028967058432,0.531641405683037,0.523906344995146,0.654458799194357,0.66115370333013,0.511622352438714,0.557477970713895,0.591641381601629
"prcntl_0.5","H47",-0.921034037197618,0.642998703142096,0.694559275159148,0.680627497055847,0.499624758880111,0.501321288495286,0.549032964369646,0.504779181678635,0.453338854713816
"prcntl_0.5","Gm1965",0.671294043187838,0.617362865438033,0.534362041020238,0.348810979312958,-0.0558433533156097,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"prcntl_0.5","Psmc4",0.270783048853384,0.155117494783426,0.433965700669826,0.527254579591623,0.634309148899095,0.599528743514851,0.617803312465335,0.628629293597926,0.612357662845723
"prcntl_0.5","Polr2f",0.479415263150122,0.588589369658966,0.616479862038394,0.673551740292689,0.598940752592983,0.641826418424592,0.536249900443067,0.575358756288259,0.596932171675146
"prcntl_0.5","Morf4l2",0.579324752494122,0.500105645995051,0.450426925799626,0.450909580909674,0.581071879387817,0.427589086258104,0.65826604876504,0.641145714524373,0.615565435057606
"prcntl_0.5","Psmc6",0.343757212016037,0.44266835371798,0.388896051500988,0.487824771703856,0.587808569076443,0.615079350059477,0.633104735529215,0.633763853345172,0.57871093372583
"prcntl_0.5","Xlr3b",0.687496991674553,0.604332564187526,0.51484936365278,0.0516030129374439,0.373721572047067,0.0396873005108731,0.459953202466326,0.331752438365387,0.540889300637024
