"gene","early2cell","mid2cell","late2cell","4cell","8cell","16cell","earlyblast","midblast","lateblast"
"Esr1",0.0534550944826081,-0.0515468952345911,-0.148884896681421,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Esrrb",0.377637311912025,0.233492062015119,0.220259013932107,0.229108106314783,0.341795843643529,0.29027520827823,0.205719590289739,0.331830099806196,0.189769240913536
"Etaa1",0.286579524420217,0.400742519426042,0.408628342149721,0.346534283882426,0.210078611714723,0.262903121999067,-0.045226254944851,0.141863904452335,0.258936766377297
"Eya1",0.262608773810845,0.195127155908316,0.0662804137985049,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Ezh2",0.573054332943645,0.529435365901049,0.503510647178148,0.530239826999044,0.503878873882583,0.48354048692441,0.464506111360325,0.465052946985557,0.406949321511178
"Ezr",-0.381392187190645,0.202840345896052,0.0656706055487193,-0.921034037197618,-0.921034037197618,-0.921034037197618,0.301225480048963,0.321342927664031,0.330229101906582
"Fam83d",-0.397854660458603,0.453152831058717,0.415826210785601,-0.149427671982527,-0.921034037197618,0.153247371801708,-0.921034037197618,0.217977474989606,0.158144419173339
"Fam107a",0.125797712816737,0.180043000655249,-0.0082336241660109,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fam122a",0.30524921668385,0.305735025075191,0.320717079653355,-0.0672059426830831,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fanca",-0.0981293669158879,0.0472596682039042,0.0172772561388899,-0.0695803381468223,0.106414610155032,-0.921034037197618,-0.921034037197618,-0.185262860924719,-0.921034037197618
"Fancd2",0.0565094647686531,-0.921034037197618,-0.0688859465474285,0.0456831965686544,0.05352126160202,-0.372201783677098,0.0551241818549149,0.19366536821228,-0.116146999431979
"Fancm",0.0374177113397896,0.299599450679785,0.328807418593112,0.314721891741936,0.28146264964583,0.27968832167868,0.277867672002292,0.345494362344087,0.232663035905696
"Fbxl3",0.227450551798731,0.145717770186143,0.124347329693729,0.293759829740019,0.21752930944699,0.0470145763531679,-0.0416657292734283,0.137371924670251,-0.0191740746603847
"Fbxl6",0.319598369674949,0.415808420593972,0.420823946664174,0.413021945286212,0.302734781947075,0.246500378605032,0.247983076725663,0.22390238267436,0.0841994059946674
"Fbxl7",0.176015064997381,0.0884531252899657,-0.173149167970069,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fbxl8",-0.0606298442945048,-0.921034037197618,-0.190964866145387,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
